genet.ID,Home.nursery,tube.id,Away.nursery
M-L-13,Mote,207,CRF
Coopers-A,UM,208,CRF
M-L-10,Mote,212,CRF
2a,NSU,215,CRF
Acer-057,CRF,217,CRF
8,NSU,222,CRF
14,NSU,223,CRF
Acer-001,CRF,225,CRF
Yungs-A,UM,232,CRF
5a,NSU,234,CRF
8a,NSU,235,CRF
MiamiBeach-D,UM,236,CRF
8a,NSU,339,UM
15,NSU,340,UM
Coopers-A,UM,341,UM
Kelseys-1,UM,343,UM
4a,NSU,345,UM
6a,NSU,346,UM
13,NSU,350,UM
Yungs-A,UM,355,UM
Acer-057,CRF,356,UM
SunnyIsles-C,UM,357,UM
Marker-9,UM,358,UM
2a,NSU,362,UM
MiamiBeach-D,UM,364,UM
Thicket3,UM,365,UM
Acer-001,CRF,366,UM
8,NSU,367,UM
4,NSU,369,UM
20,NSU,370,UM
14,NSU,372,UM
5a,NSU,373,UM
M-L-88,Mote,395,UM
M-L-13,UM,398,UM
M-L-10,Mote,402,UM
M-L-20,Mote,406,UM
M-L-20,Mote,410,CRF
Kelseys-1,UM,413,CRF
Thicket3,UM,414,CRF
4a,NSU,415,CRF
15,NSU,416,CRF
20,NSU,419,CRF
Marker-9,UM,504,CRF
6a,NSU,506,CRF
13,NSU,508,CRF
M-L-88,Mote,513,CRF
4,NSU,515,CRF
SunnyIsles-C,UM,528,CRF
M-L-88,Mote,534,Mote
M-L-20,Mote,538,Mote
M-L-10,Mote,547,Mote
M-L-13,Mote,548,Mote
20,Mote,553,Mote
15,Mote,554,Mote
14,Mote,555,Mote
13,Mote,556,Mote
8,Mote,557,Mote
4,Mote,558,Mote
2a,Mote,559,Mote
8a,Mote,565,Mote
Yungs-A,Mote,569,Mote
6a,Mote,572,Mote
5a,Mote,575,Mote
4a,Mote,576,Mote
SunnyIsles-C,UM,581,Mote
Acer-001,Mote,584,Mote
Thicket3,Mote,590,Mote
Coopers-A,Mote,591,Mote
MiamiBeach-D,Mote,594,Mote
Kelseys-1,Mote,595,Mote
Marker-9,Mote,596,Mote
Acer-057,Mote,607,Mote
