,Acer100_S145_L001,Acer102_S169_L001,Acer103_S181_L001,Acer104_S98_L001,Acer105_S110_L001,Acer106_S122_L001,Acer107_S134_L001,Acer108_S146_L001,Acer109_S158_L001,Acer10_S10_L001,Acer110_S170_L001,Acer111_S182_L001,Acer112_S99_L001,Acer113_S111_L001,Acer114_S123_L001,Acer115_S135_L001,Acer116_S147_L001,Acer117_S159_L001,Acer118_S171_L001,Acer119_S183_L001,Acer11_S11_L001,Acer120_S100_L001,Acer121_S112_L001,Acer122_S124_L001,Acer123_S136_L001,Acer124_S148_L001,Acer125_S160_L001,Acer126_S172_L001,Acer127_S184_L001,Acer128_S101_L001,Acer129_S113_L001,Acer12_S12_L001,Acer130_S125_L001,Acer131_S137_L001,Acer132_S149_L001,Acer133_S161_L001,Acer134_S173_L001,Acer135_S185_L001,Acer136_S102_L001,Acer137_S114_L001,Acer138_S126_L001,Acer139_S138_L001,Acer13_S13_L001,Acer140_S150_L001,Acer141_S162_L001,Acer142_S174_L001,Acer143_S186_L001,Acer144_S103_L001,Acer145_S115_L001,Acer146_S127_L001,Acer147_S139_L001,Acer148_S151_L001,Acer149_S163_L001,Acer14_S14_L001,Acer150_S175_L001,Acer151_S187_L001,Acer152_S104_L001,Acer153_S116_L001,Acer154_S128_L001,Acer155_S140_L001,Acer156_S152_L001,Acer157_S164_L001,Acer158_S176_L001,Acer159_S188_L001,Acer15_S15_L001,Acer160_S105_L001,Acer161_S117_L001,Acer162_S129_L001,Acer163b_S292_L001,Acer164_S177_L001,Acer165_S189_L001,Acer166_S118_L001,Acer167_S196_L001,Acer168_S197_L001,Acer169_S198_L001,Acer16_S16_L001,Acer170_S199_L001,Acer171_S200_L001,Acer172_S201_L001,Acer173_S202_L001,Acer174_S203_L001,Acer175_S204_L001,Acer176_S205_L001,Acer178_S207_L001,Acer179_S208_L001,Acer17_S17_L001,Acer180_S209_L001,Acer181_S210_L001,Acer182_S211_L001,Acer183_S212_L001,Acer184_S213_L001,Acer185_S214_L001,Acer186_S215_L001,Acer187_S216_L001,Acer189_S218_L001,Acer18_S18_L001,Acer190_S219_L001,Acer191_S220_L001,Acer193_S222_L001,Acer194_S223_L001,Acer195_S224_L001,Acer196_S225_L001,Acer197_S226_L001,Acer198_S227_L001,Acer199_S228_L001,Acer19_S19_L001,Acer1_S1_L001,Acer200_S229_L001,Acer201_S230_L001,Acer202_S231_L001,Acer203_S232_L001,Acer204_S233_L001,Acer205_S234_L001,Acer206_S235_L001,Acer207R_S301_L001,Acer207_S236_L001,Acer208R_S302_L001,Acer208_S237_L001,Acer209_S238_L001,Acer20_S20_L001,Acer210_S239_L001,Acer211_S240_L001,Acer212R_S303_L001,Acer212_S241_L001,Acer213_S242_L001,Acer214_S243_L001,Acer215R_S304_L001,Acer215_S244_L001,Acer216_S245_L001,Acer217R_S305_L001,Acer217_S246_L001,Acer218_S247_L001,Acer219_S248_L001,Acer220_S249_L001,Acer221_S250_L001,Acer222R_S306_L001,Acer222_S251_L001,Acer223R_S307_L001,Acer223_S252_L001,Acer224_S253_L001,Acer225R_S308_L001,Acer225_S254_L001,Acer226_S255_L001,Acer227_S256_L001,Acer228_S257_L001,Acer229_S258_L001,Acer22_S22_L001,Acer230_S259_L001,Acer231_S260_L001,Acer232R_S309_L001,Acer232_S261_L001,Acer233_S262_L001,Acer234R_S310_L001,Acer234_S263_L001,Acer235R_S311_L001,Acer235_S264_L001,Acer236R_S312_L001,Acer236_S265_L001,Acer237_S266_L001,Acer238_S267_L001,Acer239_S268_L001,Acer240_S269_L001,Acer241_S270_L001,Acer242_S271_L001,Acer243_S272_L001,Acer244_S108_L001,Acer245_S120_L001,Acer246_S132_L001,Acer247_S144_L001,Acer248_S156_L001,Acer249_S168_L001,Acer24_S24_L001,Acer250_S180_L001,Acer251_S192_L001,Acer252_S273_L001,Acer253_S274_L001,Acer254_S275_L001,Acer255_S276_L001,Acer256_S277_L001,Acer257_S278_L001,Acer258_S279_L001,Acer259_S280_L001,Acer25_S25_L001,Acer260_S281_L001,Acer261_S282_L001,Acer262_S283_L001,Acer263_S284_L001,Acer264_S285_L001,Acer265_S286_L001,Acer266_S287_L001,Acer267_S288_L001,Acer268_S107_L001,Acer269_S119_L001,Acer26_S26_L001,Acer270_S131_L001,Acer271_S143_L001,Acer272b_S300_L001,Acer273_S167_L001,Acer274_S179_L001,Acer275_S154_L001,Acer276_S166_L001,Acer277_S178_L001,Acer279_S130_L001,Acer27_S27_L001,Acer28_S28_L001,Acer29_S29_L001,Acer2_S2_L001,Acer30_S30_L001,Acer32_S32_L001,Acer339_S313_L001,Acer340_S314_L001,Acer341_S315_L001,Acer343_S316_L001,Acer345_S317_L001,Acer346_S318_L001,Acer34_S34_L001,Acer350_S319_L001,Acer355_S320_L001,Acer356_S321_L001,Acer357_S322_L001,Acer358_S323_L001,Acer35_S35_L001,Acer362_S324_L001,Acer364_S325_L001,Acer365_S326_L001,Acer366_S327_L001,Acer367_S328_L001,Acer369_S329_L001,Acer36_S36_L001,Acer370_S330_L001,Acer372_S331_L001,Acer373_S332_L001,Acer37_S37_L001,Acer38_S38_L001,Acer395_S333_L001,Acer398_S334_L001,Acer39_S39_L001,Acer3_S3_L001,Acer402_S335_L001,Acer406_S336_L001,Acer40_S40_L001,Acer410_S337_L001,Acer413_S338_L001,Acer414_S339_L001,Acer415_S340_L001,Acer416_S341_L001,Acer419_S342_L001,Acer41_S41_L001,Acer42_S42_L001,Acer43_S43_L001,Acer44_S44_L001,Acer45_S45_L001,Acer46_S46_L001,Acer47_S47_L001,Acer49_S49_L001,Acer504_S343_L001,Acer506_S344_L001,Acer508_S345_L001,Acer50_S50_L001,Acer513_S346_L001,Acer515_S347_L001,Acer51_S51_L001,Acer528_S348_L001,Acer534_S349_L001,Acer538_S350_L001,Acer53_S53_L001,Acer547_S351_L001,Acer548_S352_L001,Acer54_S54_L001,Acer553_S353_L001,Acer554_S354_L001,Acer555_S355_L001,Acer556_S356_L001,Acer557_S357_L001,Acer558_S358_L001,Acer559_S359_L001,Acer55_S55_L001,Acer565_S360_L001,Acer569_S361_L001,Acer56_S56_L001,Acer572_S362_L001,Acer575_S363_L001,Acer576_S364_L001,Acer581_S365_L001,Acer584_S366_L001,Acer58_S58_L001,Acer590_S367_L001,Acer591_S368_L001,Acer594_S369_L001,Acer595_S370_L001,Acer596_S371_L001,Acer5_S5_L001,Acer607_S372_L001,Acer61_S61_L001,Acer62_S62_L001,Acer63_S63_L001,Acer67b_S293_L001,Acer67c_S294_L001,Acer68b_S289_L001,Acer68c_S295_L001,Acer69b_S296_L001,Acer6_S6_L001,Acer70b_S297_L001,Acer71b_S298_L001,Acer73_S73_L001,Acer74b_S299_L001,Acer75_S74_L001,Acer76_S76_L001,Acer77_S77_L001,Acer78_S78_L001,Acer79_S79_L001,Acer7_S7_L001,Acer80_S80_L001,Acer81_S81_L001,Acer82_S82_L001,Acer83_S83_L001,Acer84_S84_L001,Acer85_S85_L001,Acer87_S87_L001,Acer88_S88_L001,Acer89_S89_L001,Acer8_S8_L001,Acer90_S90_L001,Acer91_S91_L001,Acer92_S92_L001,Acer93_S141_L001,Acer94_S153_L001,Acer95_S165_L001,Acer96_S97_L001,Acer97_S109_L001,Acer98_S121_L001,Acer99_S133_L001,Acer9_S9_L001,AcerMOCKP2_S190_L001,AcerMOCKP4_S291_L001,AcerMockP1_S95_L001,AcerMockP3_S193_L001
Otu0001,1855,2241,1975,1912,1895,2406,2332,1446,1991,2088,2053,1504,1607,2323,2199,1985,2075,1897,2215,2300,2434,2144,1970,725,320,1686,2061,2120,1423,1865,1990,2062,2050,2008,2171,2365,2223,1895,1837,1975,1863,2245,2186,2211,2266,2299,1519,2248,2280,1966,2343,2381,2197,2013,2177,571,2250,2214,1971,2381,1989,2063,2078,2156,1818,1979,1986,2096,2059,2449,1105,2238,2081,2417,2457,2343,2245,2018,2389,2141,2273,2228,2285,1976,2402,2117,2232,2017,2205,2277,2143,1826,1928,2144,1806,1440,2388,1875,1935,1938,2424,1900,2318,2134,2118,2261,1853,2225,2219,2187,2230,2243,2321,2372,2377,2413,2243,2451,2332,1980,2167,1932,2381,2225,2382,2193,2128,2166,12,2229,2337,2416,2154,1147,2161,2274,2462,2103,1826,2222,1962,2393,2131,2278,2277,2439,1817,2309,2292,2180,4,2477,2313,2265,2396,825,2242,2333,2236,2382,3,2284,2304,2295,2400,1672,1985,2199,1999,2394,2260,1803,2330,2238,2102,2175,2411,2295,2128,2230,2258,2378,1877,2456,2157,2355,2423,41,219,2462,2190,2049,2426,1722,1784,2243,1005,1683,1847,1990,2333,2088,2071,2335,2107,52,2314,1662,2299,2022,2292,1454,1910,1947,2317,1929,1773,1815,2087,2131,1944,1855,2207,2144,1902,2308,2109,1679,2289,2089,1893,1696,2237,2152,1836,2295,2031,1717,2203,2095,1899,2314,2424,1908,2397,2124,2079,2185,2455,196,2164,2477,2300,2491,2462,2315,2134,2362,2249,1953,2185,1635,2099,1680,2267,2386,1905,2120,1968,1624,1814,1887,1759,2021,2369,1727,2394,1982,1742,2390,1865,432,2341,1700,1473,2034,1255,1692,2021,2152,1934,2062,1760,2412,2352,2385,2010,1447,2016,2292,2156,1829,1976,2500,2231,1360,2344,1972,1937,2367,90,1530,2101,2163,2395,2364,2037,2425,2203,2123,39,2322,1964,1717,2032,2243,2286,2373,1556,1830,1880,2207,2228,4,12,0,15
Otu0002,55,134,218,57,46,47,94,507,157,16,8,5,18,113,26,28,364,279,70,118,0,35,471,5,1059,110,7,254,802,22,189,16,145,232,168,31,173,33,319,66,414,48,24,18,102,120,524,6,55,27,24,37,142,43,114,1534,71,5,433,10,8,60,99,295,255,39,66,47,207,25,54,7,275,83,0,4,13,183,28,341,39,131,182,371,75,301,0,95,273,142,59,445,264,43,253,521,36,429,182,191,53,510,158,352,107,0,14,214,159,0,213,121,0,93,3,58,21,0,125,4,118,5,1,52,54,243,124,142,1067,3,92,42,4,512,182,71,12,30,295,45,0,62,89,24,24,3,8,21,153,82,214,0,65,134,67,962,74,92,25,91,1281,173,185,169,18,260,48,125,392,12,120,118,66,186,340,148,55,16,153,1,7,69,275,5,33,66,27,2000,273,26,23,13,51,307,295,171,1137,259,377,207,1,321,250,41,264,1497,133,435,0,394,45,479,416,99,89,294,199,190,33,194,213,2,185,212,14,6,60,744,0,215,246,345,208,122,158,2,161,372,174,5,53,0,25,137,35,104,137,19,14,1456,4,0,0,4,0,32,164,0,12,183,1,0,39,45,2,66,549,274,92,590,418,23,686,451,3,231,45,472,108,15,502,1212,43,693,573,58,498,356,357,273,299,208,375,0,129,15,376,5,64,96,1,21,22,0,4,0,35,234,12,0,494,0,217,8,83,0,33,8,74,21,33,77,3,421,243,3,111,89,148,179,12,137,9,0,1,0,0
Otu0003,5,5,10,6,286,8,20,382,240,258,319,34,73,2,0,448,21,238,191,32,6,158,0,6,33,304,361,59,241,474,254,11,233,222,86,0,50,444,208,408,165,168,224,11,6,6,352,0,8,475,91,30,100,290,29,17,129,0,5,48,12,171,293,2,286,393,361,298,163,1,80,153,137,0,0,13,213,243,65,0,170,64,0,0,0,9,253,89,0,0,0,0,217,55,159,475,24,0,88,213,1,0,0,0,0,0,490,0,78,225,0,0,0,0,3,0,166,0,0,268,192,514,0,181,0,31,0,181,1,0,0,0,290,780,111,0,0,0,193,214,223,0,169,124,134,1,393,109,12,0,1500,0,0,0,0,583,50,0,143,0,756,0,0,1,0,374,385,9,0,0,1,399,5,12,0,0,2,142,138,236,204,0,272,0,247,0,0,0,1396,0,251,336,0,171,335,1,5,1,228,165,0,0,0,5,53,791,16,215,170,1,1,358,0,297,0,199,399,394,332,0,296,2,0,0,445,156,103,1,203,1,0,368,5,127,408,0,202,258,1,316,352,56,0,321,0,0,0,0,0,0,1,0,0,0,0,82,68,0,2,179,0,0,0,498,0,0,0,0,357,0,0,0,0,0,3,0,13,3,386,60,0,513,0,0,351,324,554,323,7,0,207,36,310,0,0,0,3,677,0,4,302,453,301,0,0,0,0,217,387,5,1046,720,0,250,0,71,10,0,0,259,1884,0,342,4,0,1,0,0,420,375,538,10,261,0,1,0,0
Otu0004,62,14,3,4,125,4,12,57,16,40,19,0,4,21,114,20,12,15,11,28,15,57,19,0,233,28,43,20,8,25,19,274,12,7,26,5,25,19,27,17,0,39,8,92,25,18,43,200,81,2,2,16,15,17,48,114,18,0,22,38,175,29,8,22,44,16,13,7,11,15,1,6,3,0,26,11,8,27,14,9,6,43,2,27,10,13,0,12,3,28,9,29,62,2,56,0,0,67,0,12,4,13,2,9,15,212,10,39,4,0,44,0,0,9,42,8,17,4,8,150,5,0,9,12,5,13,81,4,248,6,0,9,17,0,13,13,2,14,116,0,10,20,49,47,13,15,64,10,19,57,124,2,5,42,9,33,7,12,3,2,18,8,6,6,24,14,65,57,10,25,23,124,15,1,15,16,0,21,25,0,9,15,48,8,20,7,6,82,63,4,4,6,9,257,2,17,60,173,9,16,0,29,29,11,31,74,15,12,0,18,26,181,12,40,10,20,15,3,12,26,0,34,27,98,17,3,31,22,0,28,10,8,12,26,9,26,15,7,21,24,17,0,0,36,6,37,17,31,1,55,186,0,4,5,0,17,21,5,42,18,6,0,45,53,0,9,17,5,37,105,20,39,3,0,0,155,11,6,9,13,4,202,15,41,5,29,23,104,22,29,16,79,2,0,0,41,12,241,20,4,4,69,60,0,57,0,33,45,14,0,739,173,30,0,7,0,39,0,128,6,30,8,0,97,16,73,25,3,80,40,3,20,0,0,0,0,0
Otu0005,5,7,10,0,0,6,1,15,0,0,51,2,0,0,19,0,1,23,1,0,5,0,33,0,357,2,5,23,12,62,6,37,40,1,36,41,7,2,0,6,56,0,25,40,51,2,7,27,38,4,4,0,8,36,71,91,0,0,24,0,0,20,0,9,15,24,59,4,5,2,0,13,2,0,4,65,14,4,4,0,12,7,25,7,0,1,9,0,4,2,1,34,6,42,0,64,27,6,38,25,1,11,11,3,27,0,0,0,33,0,1,16,19,4,26,6,17,31,20,34,3,36,17,12,21,14,40,3,267,21,38,15,27,56,17,12,20,140,44,12,26,17,27,0,35,32,0,36,6,63,216,8,12,17,6,62,8,45,7,12,199,23,4,22,15,22,10,40,37,39,57,0,9,11,26,11,9,9,32,11,19,21,21,23,15,32,16,78,312,2,20,58,8,22,14,0,87,7,10,67,12,2,0,31,8,60,0,7,17,32,56,10,0,12,0,0,14,0,17,0,12,0,0,1,0,3,0,12,0,55,1,4,2,0,0,5,0,13,0,4,3,43,20,3,8,112,51,0,15,84,4,0,8,0,0,24,51,93,3,59,35,0,84,0,191,0,26,10,6,42,22,0,23,0,8,4,0,1,12,0,2,27,0,0,0,0,84,2,0,0,15,15,41,3,0,0,2,4,8,4,0,1,0,0,0,0,6,3,2,0,37,7,0,1,0,0,0,25,0,0,0,10,0,57,5,3,5,0,0,6,2,1,0,0,0,0,0
Otu0006,4,16,207,499,20,2,4,0,0,0,33,935,779,3,35,6,11,2,0,13,0,9,0,1545,172,210,5,1,0,0,0,0,4,6,3,1,0,0,2,0,0,0,0,1,2,0,0,0,2,0,0,19,4,0,0,3,2,270,2,4,274,9,0,0,0,0,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,280,0,1,188,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,517,4,1,1,0,0,0,0,0,204,0,2,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,484,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,2,0,0,2,0,0,0,971,0,0,0,0,0,0,0,0,0,0,0,7,27,0,0,0,0,1,0,0,0,0,138,13,17,2,0,0,0,0,0
Otu0007,26,12,0,0,5,0,0,11,58,71,11,0,0,6,40,7,2,9,6,0,15,42,0,0,163,0,0,0,0,17,27,2,3,6,0,9,3,84,77,14,0,0,0,90,4,0,17,2,0,1,27,0,2,12,0,10,0,0,20,2,1,57,1,0,13,3,1,0,0,0,2,80,0,0,0,0,0,6,0,8,0,0,0,0,2,19,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,36,0,0,0,0,2,0,0,0,0,0,10,3,0,0,0,21,4,0,0,1,0,97,7,12,0,1,0,6,8,1,9,12,0,0,0,16,4,5,4,0,8,4,26,37,0,1,15,0,0,11,3,11,0,19,3,0,0,10,35,0,0,19,0,1,8,0,0,0,14,0,5,0,0,1,13,7,0,17,13,16,27,29,0,1,9,0,0,0,0,24,36,0,15,0,0,0,0,1,0,0,0,0,8,0,2,0,0,15,0,45,0,1,0,0,0,3,0,0,0,138,0,0,68,15,0,0,0,10,2,83,3,0,28,0,0,0,0,10,0,140,55,0,7,18,0,33,0,0,9,0,2,128,26,0,0,0,82,0,6,0,3,0,0,0,0,13,0,0,44,5,0,52,6,0,0,26,0,0,0,0,0,0,0,0,0,1,0,9,0,12,50,9,8,1,0,88,0,0,0,0,8,44,0,0,51,62,0,0,0,0,0,0,15,73,5,0,29,18,0,46,0,14,1,2,1,0,0,0,0,0
Otu0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,456,443,510
Otu0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,437,447,427
Otu0010,3,40,27,11,7,0,0,15,31,15,0,0,0,5,4,0,0,25,0,0,0,34,0,0,6,0,0,3,2,4,0,0,2,0,0,28,7,0,0,14,0,0,0,10,17,5,7,0,2,0,0,4,13,36,44,2,15,0,0,3,2,1,1,0,0,11,2,4,0,0,0,0,0,0,0,0,7,0,0,0,0,17,0,0,0,0,3,0,0,3,0,0,12,0,0,0,0,0,0,0,0,42,0,0,1,0,0,0,1,0,0,0,0,0,5,5,7,0,0,0,0,0,13,10,34,0,0,0,50,2,0,3,0,0,1,0,0,9,2,0,32,0,0,0,4,0,210,1,0,0,0,0,1,14,0,0,1,0,0,9,0,0,0,0,6,75,0,0,20,13,1,0,2,5,6,120,23,0,0,22,0,0,0,3,0,0,0,188,6,0,2,1,0,0,0,0,93,70,0,2,25,0,0,0,5,0,0,38,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,14,0,0,0,3,116,0,0,0,1,69,22,0,0,282,0,0,19,0,20,0,0,0,2,0,19,213,7,12,0,0,0,78,0,0,61,0,0,12,13,70,0,0,0,11,54,0,17,3,72,20,0,0,5,0,0,0,0,5,0,15,52,0,121,0,2,0,13,0,178,65,0,0,72,82,7,0,68,0,0,0,0,0,38,74,292,0,0,79,53,0,0,0,0,0,0,22,0,0,1,0,0
