"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"Acer100_S145_L001"	"68198 (12547 uniques)"	"67979 (163 uniques)"	"67139 (134 uniques)"
"Acer101_S157_L001"	"1771 (656 uniques)"	"1661 (23 uniques)"	"1607 (15 uniques)"
"Acer102_S169_L001"	"16975 (2585 uniques)"	"16881 (34 uniques)"	"16740 (21 uniques)"
"Acer103_S181_L001"	"74425 (10331 uniques)"	"74141 (102 uniques)"	"73685 (85 uniques)"
"Acer104_S98_L001"	"9179 (1869 uniques)"	"9095 (24 uniques)"	"9019 (14 uniques)"
"Acer105_S110_L001"	"5213 (1312 uniques)"	"5180 (24 uniques)"	"5137 (17 uniques)"
"Acer106_S122_L001"	"51867 (5536 uniques)"	"51646 (67 uniques)"	"51309 (41 uniques)"
"Acer107_S134_L001"	"45911 (7149 uniques)"	"45756 (83 uniques)"	"45432 (58 uniques)"
"Acer108_S146_L001"	"21933 (3944 uniques)"	"21766 (63 uniques)"	"21550 (40 uniques)"
"Acer109_S158_L001"	"6544 (1377 uniques)"	"6475 (16 uniques)"	"6428 (11 uniques)"
"Acer10_S10_L001"	"3435 (635 uniques)"	"3396 (18 uniques)"	"3291 (9 uniques)"
"Acer110_S170_L001"	"8944 (1593 uniques)"	"8866 (21 uniques)"	"8800 (13 uniques)"
"Acer111_S182_L001"	"6036 (1754 uniques)"	"5956 (12 uniques)"	"5870 (10 uniques)"
"Acer112_S99_L001"	"33870 (4774 uniques)"	"33738 (56 uniques)"	"33534 (35 uniques)"
"Acer113_S111_L001"	"29480 (3609 uniques)"	"29366 (43 uniques)"	"29244 (33 uniques)"
"Acer114_S123_L001"	"9356 (1671 uniques)"	"9294 (36 uniques)"	"9224 (25 uniques)"
"Acer115_S135_L001"	"4709 (848 uniques)"	"4675 (14 uniques)"	"4644 (10 uniques)"
"Acer116_S147_L001"	"18073 (2656 uniques)"	"17971 (31 uniques)"	"17897 (23 uniques)"
"Acer117_S159_L001"	"71367 (8476 uniques)"	"71168 (78 uniques)"	"70793 (57 uniques)"
"Acer118_S171_L001"	"66498 (7318 uniques)"	"66275 (64 uniques)"	"65935 (53 uniques)"
"Acer119_S183_L001"	"4514 (966 uniques)"	"4469 (11 uniques)"	"4445 (7 uniques)"
"Acer11_S11_L001"	"3903 (632 uniques)"	"3861 (12 uniques)"	"3839 (9 uniques)"
"Acer120_S100_L001"	"46439 (5520 uniques)"	"46286 (57 uniques)"	"45973 (40 uniques)"
"Acer121_S112_L001"	"3528 (830 uniques)"	"3493 (10 uniques)"	"3478 (8 uniques)"
"Acer122_S124_L001"	"9594 (2533 uniques)"	"9466 (47 uniques)"	"9220 (32 uniques)"
"Acer123_S136_L001"	"21170 (5389 uniques)"	"21064 (77 uniques)"	"20816 (63 uniques)"
"Acer124_S148_L001"	"5889 (1511 uniques)"	"5834 (18 uniques)"	"5774 (13 uniques)"
"Acer125_S160_L001"	"10580 (1773 uniques)"	"10498 (21 uniques)"	"10420 (14 uniques)"
"Acer126_S172_L001"	"47223 (6978 uniques)"	"47082 (60 uniques)"	"46879 (46 uniques)"
"Acer127_S184_L001"	"28195 (4556 uniques)"	"28023 (50 uniques)"	"27854 (38 uniques)"
"Acer128_S101_L001"	"36922 (5178 uniques)"	"36738 (58 uniques)"	"36467 (41 uniques)"
"Acer129_S113_L001"	"65352 (7801 uniques)"	"65097 (70 uniques)"	"64742 (59 uniques)"
"Acer12_S12_L001"	"3158 (663 uniques)"	"3094 (13 uniques)"	"3076 (11 uniques)"
"Acer130_S125_L001"	"16392 (2610 uniques)"	"16281 (28 uniques)"	"16226 (25 uniques)"
"Acer131_S137_L001"	"64304 (7494 uniques)"	"64082 (75 uniques)"	"63688 (63 uniques)"
"Acer132_S149_L001"	"75937 (8097 uniques)"	"75749 (60 uniques)"	"75508 (53 uniques)"
"Acer133_S161_L001"	"112785 (10829 uniques)"	"112506 (71 uniques)"	"112053 (53 uniques)"
"Acer134_S173_L001"	"85298 (9135 uniques)"	"85068 (55 uniques)"	"84662 (50 uniques)"
"Acer135_S185_L001"	"49109 (6090 uniques)"	"48984 (63 uniques)"	"48760 (49 uniques)"
"Acer136_S102_L001"	"10017 (1795 uniques)"	"9954 (26 uniques)"	"9852 (14 uniques)"
"Acer137_S114_L001"	"7806 (1543 uniques)"	"7754 (14 uniques)"	"7691 (10 uniques)"
"Acer138_S126_L001"	"6526 (1305 uniques)"	"6482 (11 uniques)"	"6451 (7 uniques)"
"Acer139_S138_L001"	"9872 (1596 uniques)"	"9787 (17 uniques)"	"9750 (11 uniques)"
"Acer13_S13_L001"	"39178 (3617 uniques)"	"39040 (51 uniques)"	"38788 (35 uniques)"
"Acer140_S150_L001"	"13263 (2416 uniques)"	"13217 (29 uniques)"	"13135 (25 uniques)"
"Acer141_S162_L001"	"54159 (6363 uniques)"	"53996 (68 uniques)"	"53696 (55 uniques)"
"Acer142_S174_L001"	"17742 (2680 uniques)"	"17667 (44 uniques)"	"17546 (32 uniques)"
"Acer143_S186_L001"	"66404 (9364 uniques)"	"66259 (91 uniques)"	"65999 (79 uniques)"
"Acer144_S103_L001"	"7393 (1231 uniques)"	"7344 (16 uniques)"	"7299 (11 uniques)"
"Acer145_S115_L001"	"15091 (2462 uniques)"	"15023 (37 uniques)"	"14919 (26 uniques)"
"Acer146_S127_L001"	"38473 (4160 uniques)"	"38354 (50 uniques)"	"38137 (36 uniques)"
"Acer147_S139_L001"	"23073 (2907 uniques)"	"22948 (33 uniques)"	"22841 (27 uniques)"
"Acer148_S151_L001"	"5447 (1247 uniques)"	"5406 (15 uniques)"	"5370 (9 uniques)"
"Acer149_S163_L001"	"70475 (7720 uniques)"	"70233 (78 uniques)"	"69874 (63 uniques)"
"Acer14_S14_L001"	"23523 (2713 uniques)"	"23481 (28 uniques)"	"23414 (22 uniques)"
"Acer150_S175_L001"	"69338 (8386 uniques)"	"69147 (62 uniques)"	"68841 (48 uniques)"
"Acer151_S187_L001"	"31188 (6614 uniques)"	"31114 (88 uniques)"	"30857 (73 uniques)"
"Acer152_S104_L001"	"50903 (5511 uniques)"	"50741 (48 uniques)"	"50477 (32 uniques)"
"Acer153_S116_L001"	"12450 (2106 uniques)"	"12381 (36 uniques)"	"12267 (20 uniques)"
"Acer154_S128_L001"	"75834 (9537 uniques)"	"75575 (83 uniques)"	"75093 (59 uniques)"
"Acer155_S140_L001"	"13342 (1908 uniques)"	"13250 (20 uniques)"	"13198 (14 uniques)"
"Acer156_S152_L001"	"25927 (4118 uniques)"	"25706 (68 uniques)"	"25435 (43 uniques)"
"Acer157_S164_L001"	"70027 (9220 uniques)"	"69783 (96 uniques)"	"69347 (80 uniques)"
"Acer158_S176_L001"	"46080 (5626 uniques)"	"45954 (60 uniques)"	"45744 (45 uniques)"
"Acer159_S188_L001"	"38684 (5513 uniques)"	"38535 (46 uniques)"	"38327 (36 uniques)"
"Acer15_S15_L001"	"35378 (4490 uniques)"	"35244 (70 uniques)"	"34982 (56 uniques)"
"Acer160_S105_L001"	"53999 (6098 uniques)"	"53834 (72 uniques)"	"53503 (61 uniques)"
"Acer161_S117_L001"	"9627 (1696 uniques)"	"9556 (26 uniques)"	"9472 (17 uniques)"
"Acer162_S129_L001"	"41239 (4778 uniques)"	"41078 (54 uniques)"	"40864 (41 uniques)"
"Acer163b_S292_L001"	"7372 (1433 uniques)"	"7319 (13 uniques)"	"7294 (12 uniques)"
"Acer164_S177_L001"	"43858 (4562 uniques)"	"43698 (28 uniques)"	"43621 (19 uniques)"
"Acer165_S189_L001"	"48729 (9473 uniques)"	"48533 (65 uniques)"	"47806 (51 uniques)"
"Acer166_S118_L001"	"11146 (1739 uniques)"	"11073 (20 uniques)"	"11034 (18 uniques)"
"Acer167_S196_L001"	"39875 (8634 uniques)"	"39697 (27 uniques)"	"39460 (22 uniques)"
"Acer168_S197_L001"	"3699 (1110 uniques)"	"3639 (7 uniques)"	"3606 (4 uniques)"
"Acer169_S198_L001"	"5063 (1358 uniques)"	"4980 (7 uniques)"	"4957 (6 uniques)"
"Acer16_S16_L001"	"5854 (954 uniques)"	"5747 (36 uniques)"	"5648 (22 uniques)"
"Acer170_S199_L001"	"6035 (1628 uniques)"	"5990 (11 uniques)"	"5966 (10 uniques)"
"Acer171_S200_L001"	"7023 (2233 uniques)"	"6982 (18 uniques)"	"6941 (16 uniques)"
"Acer172_S201_L001"	"8006 (1992 uniques)"	"7971 (11 uniques)"	"7936 (11 uniques)"
"Acer173_S202_L001"	"4240 (1313 uniques)"	"4213 (14 uniques)"	"4179 (10 uniques)"
"Acer174_S203_L001"	"7172 (1810 uniques)"	"7132 (12 uniques)"	"7091 (9 uniques)"
"Acer175_S204_L001"	"51733 (10688 uniques)"	"51548 (38 uniques)"	"51240 (28 uniques)"
"Acer176_S205_L001"	"69838 (13348 uniques)"	"69619 (34 uniques)"	"69241 (25 uniques)"
"Acer177_S206_L001"	"2244 (842 uniques)"	"2229 (6 uniques)"	"2215 (6 uniques)"
"Acer178_S207_L001"	"56072 (14229 uniques)"	"55377 (215 uniques)"	"54405 (122 uniques)"
"Acer179_S208_L001"	"59206 (10773 uniques)"	"59026 (34 uniques)"	"58750 (28 uniques)"
"Acer17_S17_L001"	"49967 (4966 uniques)"	"49795 (78 uniques)"	"49386 (49 uniques)"
"Acer180_S209_L001"	"38221 (7421 uniques)"	"38064 (32 uniques)"	"37780 (21 uniques)"
"Acer181_S210_L001"	"31445 (7482 uniques)"	"31199 (34 uniques)"	"30982 (26 uniques)"
"Acer182_S211_L001"	"24377 (6245 uniques)"	"24251 (30 uniques)"	"24079 (22 uniques)"
"Acer183_S212_L001"	"41417 (8929 uniques)"	"41224 (46 uniques)"	"41025 (35 uniques)"
"Acer184_S213_L001"	"36985 (7840 uniques)"	"36794 (38 uniques)"	"36528 (30 uniques)"
"Acer185_S214_L001"	"5339 (1893 uniques)"	"5299 (17 uniques)"	"5275 (15 uniques)"
"Acer186_S215_L001"	"30944 (6932 uniques)"	"30817 (35 uniques)"	"30627 (26 uniques)"
"Acer187_S216_L001"	"46797 (10107 uniques)"	"46598 (38 uniques)"	"46180 (32 uniques)"
"Acer188_S217_L001"	"2184 (856 uniques)"	"2162 (8 uniques)"	"2150 (8 uniques)"
"Acer189_S218_L001"	"6591 (2097 uniques)"	"6474 (19 uniques)"	"6422 (15 uniques)"
"Acer18_S18_L001"	"4258 (846 uniques)"	"4216 (13 uniques)"	"4185 (8 uniques)"
"Acer190_S219_L001"	"3120 (959 uniques)"	"3085 (12 uniques)"	"3069 (10 uniques)"
"Acer191_S220_L001"	"5371 (1668 uniques)"	"5324 (14 uniques)"	"5296 (12 uniques)"
"Acer192_S221_L001"	"2082 (655 uniques)"	"2064 (9 uniques)"	"2052 (8 uniques)"
"Acer193_S222_L001"	"3706 (1226 uniques)"	"3670 (11 uniques)"	"3642 (9 uniques)"
"Acer194_S223_L001"	"5828 (1853 uniques)"	"5761 (15 uniques)"	"5730 (14 uniques)"
"Acer195_S224_L001"	"65872 (11337 uniques)"	"65704 (33 uniques)"	"65392 (24 uniques)"
"Acer196_S225_L001"	"7150 (2190 uniques)"	"7031 (20 uniques)"	"6960 (16 uniques)"
"Acer197_S226_L001"	"40524 (8363 uniques)"	"40361 (34 uniques)"	"40142 (23 uniques)"
"Acer198_S227_L001"	"48399 (9578 uniques)"	"48204 (24 uniques)"	"48005 (25 uniques)"
"Acer199_S228_L001"	"45003 (10856 uniques)"	"44843 (36 uniques)"	"44588 (32 uniques)"
"Acer19_S19_L001"	"5173 (998 uniques)"	"5110 (17 uniques)"	"5069 (10 uniques)"
"Acer1_S1_L001"	"5191 (895 uniques)"	"5138 (13 uniques)"	"5103 (10 uniques)"
"Acer200_S229_L001"	"4645 (1452 uniques)"	"4607 (18 uniques)"	"4580 (14 uniques)"
"Acer201_S230_L001"	"97862 (20492 uniques)"	"97550 (59 uniques)"	"97082 (43 uniques)"
"Acer202_S231_L001"	"6750 (1993 uniques)"	"6644 (15 uniques)"	"6594 (12 uniques)"
"Acer203_S232_L001"	"27220 (6291 uniques)"	"27111 (23 uniques)"	"27029 (23 uniques)"
"Acer204_S233_L001"	"7835 (2202 uniques)"	"7792 (17 uniques)"	"7748 (14 uniques)"
"Acer205_S234_L001"	"13550 (3413 uniques)"	"13450 (18 uniques)"	"13370 (13 uniques)"
"Acer206_S235_L001"	"14011 (3425 uniques)"	"13904 (24 uniques)"	"13817 (16 uniques)"
"Acer207R_S301_L001"	"71277 (8017 uniques)"	"70987 (130 uniques)"	"70571 (97 uniques)"
"Acer207_S236_L001"	"9927 (2303 uniques)"	"9876 (14 uniques)"	"9839 (13 uniques)"
"Acer208R_S302_L001"	"145654 (13206 uniques)"	"145268 (109 uniques)"	"144507 (84 uniques)"
"Acer208_S237_L001"	"13930 (2792 uniques)"	"13865 (16 uniques)"	"13800 (13 uniques)"
"Acer209_S238_L001"	"61736 (11973 uniques)"	"61479 (48 uniques)"	"61122 (30 uniques)"
"Acer20_S20_L001"	"3354 (679 uniques)"	"3312 (13 uniques)"	"3296 (13 uniques)"
"Acer210_S239_L001"	"7803 (1982 uniques)"	"7736 (11 uniques)"	"7692 (9 uniques)"
"Acer211_S240_L001"	"7408 (2274 uniques)"	"7345 (19 uniques)"	"7296 (14 uniques)"
"Acer212R_S303_L001"	"42367 (4665 uniques)"	"42215 (88 uniques)"	"41965 (67 uniques)"
"Acer212_S241_L001"	"62185 (11778 uniques)"	"61945 (33 uniques)"	"61562 (25 uniques)"
"Acer213_S242_L001"	"34069 (7369 uniques)"	"33916 (21 uniques)"	"33795 (17 uniques)"
"Acer214_S243_L001"	"68472 (13013 uniques)"	"68171 (41 uniques)"	"67809 (29 uniques)"
"Acer215R_S304_L001"	"39929 (6185 uniques)"	"39747 (101 uniques)"	"39471 (85 uniques)"
"Acer215_S244_L001"	"35362 (8021 uniques)"	"35206 (33 uniques)"	"34985 (24 uniques)"
"Acer216_S245_L001"	"44822 (17686 uniques)"	"44103 (399 uniques)"	"42093 (227 uniques)"
"Acer217R_S305_L001"	"58052 (7159 uniques)"	"57831 (103 uniques)"	"57376 (84 uniques)"
"Acer217_S246_L001"	"147682 (25023 uniques)"	"147272 (68 uniques)"	"146500 (44 uniques)"
"Acer218_S247_L001"	"48713 (9453 uniques)"	"48538 (32 uniques)"	"48314 (21 uniques)"
"Acer219_S248_L001"	"39716 (8807 uniques)"	"39576 (44 uniques)"	"39291 (26 uniques)"
"Acer21_S21_L001"	"2533 (459 uniques)"	"2490 (11 uniques)"	"2469 (8 uniques)"
"Acer220_S249_L001"	"100026 (23731 uniques)"	"99697 (83 uniques)"	"98846 (69 uniques)"
"Acer221_S250_L001"	"72894 (14555 uniques)"	"72561 (54 uniques)"	"72132 (39 uniques)"
