"","Genus","Species"
"Otu0001",NA,NA
"Otu0002",NA,NA
"Otu0003",NA,NA
"Otu0004",NA,NA
"Otu0005",NA,NA
"Otu0006",NA,NA
"Otu0007",NA,NA
"Otu0008","Staphylococcus","argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/schweitzeri/simiae/warneri"
"Otu0009","Bacillus","altitudinis/amyloliquefaciens/firmus/halotolerans/licheniformis/mojavensis/siamensis/subtilis/tequilensis/timonensis/vallismortis/velezensis"
"Otu0010",NA,NA
"Otu0011",NA,"albertii/boydii/coli/dysenteriae/enterica/fergusonii/flexneri/marmotae/sonnei/vulneris"
"Otu0012","Listeria","innocua/ivanovii/marthii/monocytogenes/phage/seeligeri/welshimeri"
"Otu0013",NA,NA
"Otu0014",NA,"amalonaticus/cloacae/enterica/freundii/intermedia/phage/regensburgei"
"Otu0015",NA,"azikeevi/canintestini/canis/dispar/durans/faecalis/faecium/hirae/lactis/mundtii/olivae/pernyi/plantarum/raffinosus/ratti/rivorum/saigonensis/thailandicus/villorum"
"Otu0016","Lactobacillus","delbrueckii/fermentum/ingluviei/oris/parabuchneri/plantarum"
"Otu0017",NA,NA
"Otu0018",NA,"aestuarianus/alginolyticus/antiquarius/atypicus/azureus/campbellii/coralliilyticus/diabolicus/fluvialis/fortis/galatheae/harveyi/hyugaensis/jasicida/mediterranei/midae/mytili/natriegens/neocaledonicus/nereis/owensii/parahaemolyticus/pelagius/qinhuangdaora/rotiferianus/sagamiensis/sonorensis/thiocycli/variabilis/vulnificus"
"Otu0019",NA,NA
"Otu0020",NA,NA
"Otu0021",NA,NA
"Otu0022","Pseudoalteromonas","aestuariivivens/agarivorans/arabiensis/atlantica/carrageenovora/chazhmella/distincta/donghaensis/elyakovii/espejiana/ganghwensis/gelatinilytica/haloplanktis/hodoensis/issachenkonii/lipolytica/luteoviolacea/mariniglutinosa/nigrifaciens/paragorgicola/porphyrae/profundi/prydzensis/shioyasakiensis/telluritireducens/tetraodonis/undina/whanghaensis/xishaensis"
"Otu0023","Alteromonas","alvinellae/australica/gracilis/litorea/macleodii/marina/mediterranea/simiduii/tagae"
"Otu0024",NA,NA
"Otu0025","Endozoicomonas","atrinae"
"Otu0026","Pseudomonas","aeruginosa/denitrificans/fluorescens/mendocina/otitidis/protegens/putida/tropicalis"
"Otu0027","Sphingobium","amiense/limneticum/yanoikuyae"
"Otu0028",NA,NA
"Otu0029","Photobacterium","aquimaris/iliopiscarium/kishitanii/leiognathi/phosphoreum/piscicola/sanguinicancri/swingsii"
"Otu0030",NA,NA
"Otu0031",NA,NA
"Otu0032",NA,NA
"Otu0033",NA,NA
"Otu0035",NA,NA
"Otu0036","Prochlorococcus","marinus"
"Otu0037","Cobetia","amphilecti/litoralis/marina/pacifica"
"Otu0038",NA,NA
"Otu0039",NA,NA
"Otu0040",NA,NA
"Otu0041",NA,NA
"Otu0042",NA,NA
"Otu0043","Algicola","bacteriolytica"
"Otu0044",NA,NA
"Otu0047","Photobacterium","damselae"
"Otu0048","Halomonas","boliviensis/campaniensis/chromatireducens/denitrificans/desiderata/huangheensis/kenyensis/nitrilicus/nitritophilus/pacifica/phoceae/qiaohouensis/saccharevitans/salifodinae/salina/urumqiensis/ventosae"
"Otu0049",NA,NA
"Otu0050","Bacillus","marmarensis/pseudofirmus"
"Otu0051",NA,NA
"Otu0053",NA,NA
"Otu0054",NA,NA
"Otu0055",NA,NA
"Otu0056",NA,NA
"Otu0057",NA,NA
"Otu0058",NA,NA
"Otu0059","Ruegeria","atlantica/lacuscaerulensis/pomeroyi"
"Otu0060",NA,NA
"Otu0061",NA,NA
"Otu0062",NA,NA
"Otu0063",NA,NA
"Otu0064",NA,"altitudinis/amyloliquefaciens/anthracis/bingmayongensis/bombysepticus/cereus/coagulans/cytotoxicus/firmus/gaemokensis/licheniformis/manliponensis/megaterium/meqaterium/mycoides/nealsonii/oryzaecorticis/phage/pneumoniae/pseudomycoides/pumilus/salmalaya/samanii/subtilis/thuringiensis/toyonensis/weihenstephanensis/wiedmannii"
"Otu0065","Aestuariibacter","aggregatus"
"Otu0066",NA,NA
"Otu0067","Vibrio","areninigrae/coralliilyticus/harveyi/hispanicus"
"Otu0068","Lawsonella","clevelandensis"
"Otu0069","Corynebacterium","accolens/fastidiosum/macginleyi/segmentosum"
"Otu0070",NA,NA
"Otu0071","Pseudomonas","aeruginosa/alkylphenolica/argentinensis/benzenivorans/cremoricolorata/cuatrocienegasensis/flavescens/fluorescens/fulva/glareae/hunanensis/mendocina/monteilii/mosselii/oryzihabitans/parafulva/plecoglossicida/punonensis/putida/segetis/seleniipraecipitans/soli/straminea/taiwanensis"
"Otu0072",NA,NA
"Otu0073",NA,NA
"Otu0074",NA,NA
"Otu0075",NA,NA
"Otu0077",NA,NA
"Otu0078",NA,NA
"Otu0079",NA,NA
"Otu0080",NA,NA
"Otu0081",NA,NA
"Otu0082",NA,NA
"Otu0083",NA,NA
"Otu0084",NA,NA
"Otu0085",NA,NA
"Otu0086",NA,NA
"Otu0087",NA,NA
"Otu0088","Erythrobacter","longus/lutimaris/nanhaisediminis/vulgaris"
"Otu0089","Acinetobacter","baumannii/bouvetii/haemolyticus/johnsonii/junii/lwoffii/oleivorans/oryzae/schindleri"
"Otu0090",NA,NA
"Otu0091",NA,NA
"Otu0092","Idiomarina","aquatica/baltica/fontislapidosi/seosinensis"
"Otu0093","Peptoniphilus","gorbachii/harei/phoceensis/rhinitidis/senegalensis/tyrrelliae"
"Otu0094",NA,NA
"Otu0095",NA,NA
"Otu0096",NA,NA
"Otu0097",NA,NA
"Otu0098",NA,NA
"Otu0100",NA,NA
"Otu0101",NA,NA
"Otu0102",NA,NA
"Otu0103",NA,NA
"Otu0104",NA,NA
"Otu0105",NA,NA
"Otu0106","Marinobacter","mobilis/xestospongiae"
"Otu0107","Sphingopyxis","alaskensis/bauzanensis/chilensis/fribergensis/ginsengisoli/italica/panaciterrae"
"Otu0108",NA,NA
"Otu0109",NA,NA
"Otu0110",NA,NA
"Otu0111","Prevotella","timonensis"
"Otu0112",NA,NA
"Otu0113",NA,NA
"Otu0114",NA,NA
"Otu0115",NA,NA
"Otu0116",NA,NA
"Otu0117",NA,NA
"Otu0118",NA,NA
"Otu0119","Alishewanella","aestuarii/agri/jeotgali"
"Otu0120",NA,NA
"Otu0121",NA,NA
"Otu0122",NA,NA
"Otu0123","Thalassotalea","agarivorans/euphylliae/montiporae"
"Otu0124",NA,NA
"Otu0125",NA,NA
"Otu0126",NA,NA
"Otu0127",NA,NA
"Otu0128",NA,NA
"Otu0129",NA,NA
"Otu0130",NA,NA
"Otu0131",NA,NA
"Otu0132",NA,NA
"Otu0133",NA,NA
"Otu0134",NA,NA
"Otu0135","Muriicola","jejuensis"
"Otu0136","Gallaecimonas","pentaromativorans"
"Otu0137","Pelomonas","aquatica/puraquae/saccharophila"
"Otu0138",NA,NA
"Otu0139",NA,NA
"Otu0141",NA,NA
"Otu0142",NA,NA
"Otu0143","Psychrobacter","celer"
"Otu0144",NA,NA
"Otu0145",NA,NA
"Otu0148",NA,NA
"Otu0150",NA,NA
"Otu0151",NA,NA
"Otu0152",NA,NA
"Otu0153",NA,NA
"Otu0155",NA,NA
"Otu0156",NA,NA
"Otu0157",NA,NA
"Otu0158",NA,NA
"Otu0159","Pseudomonas","aestusnigri/oceani/pachastrellae/stutzeri"
"Otu0161",NA,NA
"Otu0162",NA,NA
"Otu0163",NA,NA
"Otu0164",NA,NA
"Otu0166","Streptococcus","anginosus/cristatus/gordonii/infantis/mitis/oralis/pneumoniae/pseudopneumoniae/sanguinis/timonensis"
"Otu0168",NA,NA
"Otu0169",NA,NA
"Otu0170",NA,NA
"Otu0171","Idiomarina","aquimaris/homiensis/marina/maritima/tainanensis"
"Otu0172",NA,NA
"Otu0173",NA,NA
"Otu0174",NA,NA
"Otu0176",NA,NA
"Otu0177","Psychrobacter","marincola"
"Otu0178",NA,NA
"Otu0179",NA,NA
"Otu0180","Zeaxanthinibacter","aestuarii"
"Otu0181",NA,NA
"Otu0182",NA,NA
"Otu0183",NA,NA
"Otu0184",NA,NA
"Otu0185",NA,NA
"Otu0186",NA,NA
"Otu0187","Paracoccus","carotinifaciens/gahaiensis/haeundaensis/marcusii"
"Otu0188",NA,NA
"Otu0189","Negativicoccus","succinicivorans"
