	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_97	9-TaxaFilter_97	10-MultipletonsFilter_97	11-Subsampling_97	12-Lulu_97
Acer100_S145_L001	85535	68198	68198	68198 (12547 uniques)	67979 (163 uniques)	67139 (134 uniques)	64159 (123 uniques)	64000 (115 uniques)	64000 (115 uniques)	64000 (96 uniques)	63872 (88 uniques)	63872 (88 uniques)	2500 (50 uniques)	2500 (50 uniques)
Acer101_S157_L001	2377	1771	1771	1771 (656 uniques)	1661 (23 uniques)	1607 (15 uniques)	1343 (12 uniques)	1343 (12 uniques)	1343 (12 uniques)	1343 (12 uniques)	1343 (12 uniques)	1343 (12 uniques)	/	/
Acer102_S169_L001	21112	16975	16975	16975 (2585 uniques)	16881 (34 uniques)	16740 (21 uniques)	16522 (18 uniques)	16487 (17 uniques)	16487 (17 uniques)	16487 (16 uniques)	16487 (16 uniques)	16487 (16 uniques)	2500 (14 uniques)	2500 (14 uniques)
Acer103_S181_L001	94936	74425	74425	74425 (10331 uniques)	74141 (102 uniques)	73685 (85 uniques)	72507 (78 uniques)	72233 (70 uniques)	72233 (70 uniques)	72233 (61 uniques)	72228 (60 uniques)	72226 (59 uniques)	2500 (30 uniques)	2500 (30 uniques)
Acer104_S98_L001	11906	9179	9179	9179 (1869 uniques)	9095 (24 uniques)	9019 (14 uniques)	8941 (13 uniques)	8867 (11 uniques)	8867 (11 uniques)	8867 (11 uniques)	8855 (10 uniques)	8855 (10 uniques)	2500 (10 uniques)	2500 (10 uniques)
Acer105_S110_L001	6514	5213	5213	5213 (1312 uniques)	5180 (24 uniques)	5137 (17 uniques)	4998 (15 uniques)	4998 (15 uniques)	4998 (15 uniques)	4998 (15 uniques)	4998 (15 uniques)	4998 (15 uniques)	2500 (15 uniques)	2500 (15 uniques)
Acer106_S122_L001	63888	51867	51867	51867 (5536 uniques)	51646 (67 uniques)	51309 (41 uniques)	50140 (36 uniques)	50126 (35 uniques)	50126 (35 uniques)	50126 (33 uniques)	50126 (33 uniques)	50126 (33 uniques)	2500 (20 uniques)	2500 (20 uniques)
Acer107_S134_L001	58200	45911	45911	45911 (7149 uniques)	45756 (83 uniques)	45432 (58 uniques)	41901 (52 uniques)	41839 (50 uniques)	41839 (50 uniques)	41839 (46 uniques)	41803 (42 uniques)	41803 (42 uniques)	2500 (27 uniques)	2500 (27 uniques)
Acer108_S146_L001	27721	21933	21933	21933 (3944 uniques)	21766 (63 uniques)	21550 (40 uniques)	21003 (36 uniques)	20916 (32 uniques)	20916 (32 uniques)	20916 (29 uniques)	20882 (27 uniques)	20882 (27 uniques)	2500 (16 uniques)	2500 (16 uniques)
Acer109_S158_L001	8150	6544	6544	6544 (1377 uniques)	6475 (16 uniques)	6428 (11 uniques)	6301 (9 uniques)	6301 (9 uniques)	6301 (9 uniques)	6301 (9 uniques)	6188 (8 uniques)	6188 (8 uniques)	2500 (8 uniques)	2500 (8 uniques)
Acer10_S10_L001	4338	3435	3435	3435 (635 uniques)	3396 (18 uniques)	3291 (9 uniques)	3282 (8 uniques)	3282 (8 uniques)	3282 (8 uniques)	3282 (8 uniques)	3282 (8 uniques)	3282 (8 uniques)	2500 (8 uniques)	2500 (8 uniques)
Acer110_S170_L001	11074	8944	8944	8944 (1593 uniques)	8866 (21 uniques)	8800 (13 uniques)	8649 (12 uniques)	8632 (11 uniques)	8632 (11 uniques)	8632 (11 uniques)	8626 (10 uniques)	8626 (10 uniques)	2500 (10 uniques)	2500 (10 uniques)
