genet.ID,Home.nursery,Other.name,Collection Site,Latitude,Longitude,Collected by,Collection date,Collection permit
Acer-001,CRF,Acer1,White Bank North,25.2.6646'N,80.22.134'W,CRF,6/22/18,FKNMS-2011-159-A4
Acer-002,CRF,Acer2,White Bank North,25.2.6748'N,80.22.149'W,CRF,6/22/18,FKNMS-2011-159-A4
Acer-014,CRF,u9,Patch Reef Near Davis Reef,24.56.578'N,80.29.791'W,CRF,1/13/06,TNC FRRP Permit
Acer-103,CRF,u76,Lower Matecumbe ,24.49.298'N,80.39.365'W,CRF,6/14/11,FKNMS-2011-150
Acer-060,CRF,u17,Patch Reef inside Molasses Trench area,25.0.152'N,80.25.391'W,CRF,4/1/10,FKNMS-2011-150
Acer-126,CRF,u99,"Turtle Rocks, inshore",25.16.972'N,80.12.461'W,CRF,6/27/18,FKNMS-2011-159-A3
Acer-127,CRF,u33,Patch Reef just off Triangle Marker off Tavernier,25.00.215'N ,80.27.055'W,CRF,5/13/08,FKNMS-2008-006
Acer-046,CRF,M7,Jeff's Patch,24.69767,-80.9581,FWC,3/18/10,FKNMS-2015-129-A2
Acer-062,CRF,M18,off Long Key,24.77885,-80.7349,FWC,4/20/10,FKNMS-2015-129-A2
Acer-117,CRF,KW13,Inshore of 9 Foot Stake #1,24.28.394'N,81.45.846'W,CRF,12/7/05,FKNMS-2011-159-A3
Acer-120,CRF,KW21,"Man Key, off Key West",24.30.964'N,81.55.484'W,CRF,5/14/15,FKNMS-2011-159-A3
Acer-123,CRF,KW12,"Western Sambo, south end",24.28.794'N,81.43.142'W,CRF,6/27/18,FKNMS-2011-159-A3
Acer-061,CRF,u21,Patch Reef inside Molasses Trench area,25.0.165'N,80.25.375'W,CRF,4/1/10,FKNMS-2011-150
Acer-041,CRF,u34,Patch Reef just off Triangle Marker off Tavernier,25.00.184' N,80.27.051'W,CRF,11/21/08,FKNMS-2008-006
Acer-049,CRF,u38,Pickles Rubble Zone,24.59.170'N,80.25.026'W,CRF,5/7/10,FKNMS-2008-006
Acer-071,CRF,u73,"glenn, Remnant coral off Tavernier, Near U46",25.0.881'N,80.25.015'W,CRF,10/17/10,FKNMS-2011-150
Acer-089,CRF,u68,"Near Condo1, Jim",24.49.076'N,80.39.106'W,CRF,10/28/10,FKNMS-2011-150
Acer-091,CRF,u63,North Dry Rocks,25.7.797'N,80.17.114'W,CRF,10/28/10,FKNMS-2011-150
Acer-093,CRF,u65,Patch reef between North Dry Rocks and Dry Rocks,25.7.629'N,80.17.673'W,CRF,11/7/10,FKNMS-2011-150
Acer-097,CRF,u66,"Patch reef inside staghorn Nursery, Remnant",24.58.862'N,80.26.869'W,CRF,11/7/10,FKNMS-2011-150
Acer-030,CRF,M3,East Turtle Shoal off Grassy Key,24.42.801'N,80.56.687'W,CRF,4/24/08,FKNMS-2008-006
Acer-057,CRF,M8,Jeff's Patch,24.41.860'N,80.57.486'W,FWC,Get from FWC,
Acer-022,CRF,B9,Broward County,26.03.430'N,80.06.336'W,NSU,12/4/07,Get from NOVA
F-M-6,FWC,6,Off Grassy Key,24.70217,-80.93867,FWC,3/18/10,FKNMS-2015-129-A2
