Away.nursery,genet.ID,tube.id
Mote,1,42
UM,1,153
NSU,1,192
CRF,1,209
UM,2,136
NSU,2,189
CRF,2,226
Mote,4,93
UM,4,148
NSU,4,204
CRF,4,248
UM,5,115
UM,5,175
NSU,5,181
CRF,5,224
UM,6,165
NSU,6,199
CRF,6,258
CRF,7,252
Mote,8,46
UM,8,152
NSU,8,205
CRF,8,250
Mote,13,62
UM,13,163
NSU,13,185
CRF,13,249
Mote,14,51
UM,14,111
UM,14,122
Mote,15,74
UM,15,132
CRF,15,260
Mote,20,67
UM,20,170
CRF,20,238
Mote,2a,63
UM,2a,156
NSU,2a,184
CRF,2a,222
UM,3a,124
CRF,3a,267
Mote,4a,104
UM,4a,149
NSU,4a,206
CRF,4a,218
Mote,5a,84
UM,5a,116
CRF,5a,208
Mote,6a,78
UM,6a,155
NSU,6a,200
CRF,6a,246
Mote,8a,71
UM,8a,164
NSU,8a,203
CRF,8a,229
Mote,9a,35
UM,9a,179
NSU,9a,198
CRF,9a,276
Mote,Acer-001,66
CRF,Acer-001,257
FWC,Acer-002,22
Mote,Acer-002,103
FWC,Acer-014,32
Mote,Acer-014,36
NSU,Acer-014,201
CRF,Acer-014,230
Mote,Acer-022,97
Mote,Acer-030,82
Mote,Acer-041,60
CRF,Acer-041,265
FWC,Acer-046,28
Mote,Acer-049,8
CRF,Acer-049,275
FWC,Acer-057,18
Mote,Acer-057,57
UM,Acer-057,128
NSU,Acer-057,188
Mote,Acer-060,40
CRF,Acer-060,245
Mote,Acer-061,70
CRF,Acer-061,264
FWC,Acer-062,25
NSU,Acer-062,187
FWC,Acer-071,29
Mote,Acer-071,33
Mote,Acer-089,6
CRF,Acer-089,231
Mote,Acer-091,73
CRF,Acer-091,210
Mote,Acer-093,10
CRF,Acer-093,263
Mote,Acer-097,79
CRF,Acer-097,239
Mote,Acer-103,68
UM,Acer-103,145
CRF,Acer-103,266
Mote,Acer-117,9
NSU,Acer-117,193
CRF,Acer-117,223
Mote,Acer-120,38
CRF,Acer-120,232
Mote,Acer-123,89
CRF,Acer-123,216
Mote,Acer-126,87
UM,Acer-126,173
CRF,Acer-126,211
Mote,Acer-127,44
CRF,Acer-127,262
Mote,Acerv 1,5
UM,Acerv 1,125
NSU,Acerv 1,202
CRF,Acerv 1,219
UM,Acerv 2,135
