Away.nursery,WhirlPack.No,Ziploc.Genet,Swap.Genotype,Shayle Number,GH Number,Notes,,dateCollected,GenoSample,WhirlPack
Mote,160,ML-78,ML-78,1,159,,,7/15/21,Don’t Need Will get (UM Original),35
Mote,137,ML-29,ML-29,2,,,,7/15/21,Don’t Need Will get (UM Original),37
Mote,162,ML-77,ML-77,3,,,,7/14/21,Need,No key in whirldpack
Mote,108,RD-3,Thicket3,4,201,,,7/14/21,Need1,43
Mote,110,RD-2,Acerv-1,5,,,,7/14/21,Need1,70
Mote,125,CU-089,Acer-089,6,202,,,7/14/21,Need1,177
Mote,154,ML-89,ML-89,7,,,,7/15/21,Need1,29
Mote,127,CU-049,Acer-049,8,203,,,7/15/21,Need1,170
Mote,115,CL-117,Acer-117,9,204,,,7/15/21,Need1,175
Mote,121,C-U-93,Acer-093,10,,,,7/22/21,Need1,228
Mote,98,ML-5,ML-5,11,,Alexandra said maybe dup of bag 96,,7/22/21,Need1-I think I have,244
FWC,165,ML-75,ML-75,12,,,,7/22/21,Need1-I think I have,248
FWC,178,ML-47,ML-47,13,,,,7/14/21,Need2,171
FWC,170,FM-12,FM-12,14,205,,,7/15/21,Need2,145
FWC,167,ML-63,ML-63,15,,,,7/15/21,Need2,153
FWC,181,TDT2,DT2,16,,,,7/22/21,Need2,213
FWC,177,TDT1,DT1,17,206,,,7/22/21,Need2,233
FWC,179,FM-8,Acer-057,18,,,,7/22/21,Need2,243
FWC,172,RD-29,SunnyIsles-C,19,,,,7/22/21,Need2,NA
FWC,164,FM-19,FM-19,20,,,,7/15/21,Need3,173
FWC,174,FM-21,FM-21,21,No apical,,,7/22/21,Need3,230
FWC,166,CU-002,Acer-002,22,,,,7/22/21,Need3,235
FWC,169,FM-9,FM-9,23,207,,,7/14/21,Y UM,1
FWC,173,FM-20,FM-20,24,208,,,7/14/21,Y UM,3
FWC,182,FM-18,Acer-062,25,,,,7/14/21,Y UM,5
FWC,180,FM-13,FM-13,26,209,,,7/14/21,Y UM,6
FWC,175,FM-6,F-M-6,27,210,,,7/14/21,Y UM,8
FWC,176,FM-7,Acer-046,28,,,,7/14/21,Y UM,9
FWC,168,CU-071,Acer-071,29,,,,7/14/21,Y UM,10
FWC,171,FM-14,FM-14,30,211,,,7/14/21,Y UM,11
Mote,153,ML-36,ML-36,31,212,,,7/14/21,Y UM,12
FWC,163,CU-014,Acer-014,32,,,,7/14/21,Y UM,13
Mote,132,CU-071,Acer-071,33,214,,,7/14/21,Y UM,16
Mote,135,ML-48,ML-48,34,213,,,7/14/21,Y UM,17
Mote,86,NB-9a,9a,35,,,,7/14/21,Y UM,18
Mote,122,C-U-14,Acer-014,36,215,,,7/14/21,Y UM,20
Mote,151,ML-41,ML-41,37,,,,7/14/21,Y UM,21
Mote,126,CU-120,Acer-120,38,216,,,7/14/21,Y UM,22
Mote,150,ML-44,ML-44,39,217,,,7/14/21,Y UM,24
Mote,129,CU-060,Acer-060,40,218,,,7/14/21,Y UM,27
Mote,142,ML-58,ML-58,41,219,,,7/14/21,Y UM,33
Mote,94,NB-1,1,42,,,,7/14/21,Y UM,34
Mote,97,ML-6,ML-6,43,,,,7/14/21,Y UM,36
Mote,119,CU-127,Acer-127,44,220,Little Tissue Left,,7/14/21,Y UM,38
Mote,99,RD-18,North MidchannelA,45,,,,7/14/21,Y UM,39
Mote,82,NB-8,8,46,,,,7/14/21,Y UM,40
Mote,138,ML-75,ML-75,47,221,,,7/14/21,Y UM,44
Mote,100,RD-16,Stagreef-A,48,,,,7/14/21,Y UM,45
Mote,105,RD-30,Cheetos-B,49,222,,,7/14/21,Y UM,46
Mote,147,ML-20,ML-20,50,,,,7/14/21,Y UM,47
Mote,81,NB-14,14,51,223,,,7/14/21,Y UM,52
Mote,156,ML-90,ML-90,52,,,,7/14/21,Y UM,54
Mote,76,ML-8,ML-8,53,,,,7/14/21,Y UM,56
Mote,109,RD-5,Marker-9,54,,,,7/14/21,Y UM,59
Mote,146,ML-51,ML-51,55,224,,,7/14/21,Y UM,60
Mote,144,ML-55,ML-55,56,,,,7/14/21,Y UM,62
Mote,124,FM-8,Acer-057,57,227,,,7/14/21,Y UM,67
Mote,159,ML-88,ML-88,58,226,,,7/14/21,Y UM,71
Mote,102,RD-21,Stephs-A,59,225,,,7/14/21,Y UM,118
Mote,128,CU-041,Acer-041,60,228,,,7/14/21,Y UM,122
Mote,103,RD-13,Miami Beach-D,61,,,,7/15/21,Y UM,14
Mote,83,NB-13,13,62,,,,7/15/21,Y UM,78
Mote,91,NB-2a,2a,63,,,,7/15/21,Y UM,81
Mote,95,ML-13,ML-13,64,,,,7/15/21,Y UM,102
Mote,148,ML-46,ML-46,65,229,,,7/15/21,Y UM,105
Mote,117,CU-001,Acer-001,66,,,,7/15/21,Y UM,106
Mote,87,NB-20,20,67,,,,7/15/21,Y UM,108
Mote,130,CU-103,Acer-103,68,230,,,7/15/21,Y UM,111
Mote,104,RD-14,Kelseys-1,69,69,,,7/15/21,Y UM,112
Mote,131,CU-061,Acer-061,70,231,,,7/15/21,Y UM,113
Mote,90,NB-8a,8a,71,,,,7/15/21,Y UM,114
Mote,143,ML-50,ML-50,72,,,,7/15/21,Y UM,115
Mote,120,C-U-91,Acer-091,73,,,,7/15/21,Y UM,116
Mote,85,NB-15,15,74,,,,7/15/21,Y UM,119
Mote,145,ML-54,ML-54,75,232,,,7/15/21,Y UM,123
Mote,134,ML-31,ML-31,76,,,,7/15/21,Y UM,124
Mote,111,RD-1,Elkhorn,77,233,,,7/15/21,Y UM,125
Mote,89,NB-6a,6a,78,,,,7/15/21,Y UM,126
Mote,118,CU-097,Acer-097,79,234,,,7/15/21,Y UM,127
Mote,155,ML-80,ML-80,80,235,,,7/15/21,Y UM,128
Mote,79,ML-1,ML-1,81,237,,,7/15/21,Y UM,129
Mote,123,CM-003,Acer-030,82,236,,,7/15/21,Y UM,130
Mote,113,RD-37,Yungs-A,83,238,,,7/15/21,Y UM,131
Mote,88,NB-5a,5a,84,,,,,,
Mote,149,ML-34,ML-34,85,,,,7/15/21,Y UM,132
Mote,101,ML-7,ML-7,86,,,,7/15/21,Y UM,135
Mote,133,CU-126,Acer-126,87,160,,,7/15/21,Y UM,138
Mote,157,ML-84,ML-84,88,,,,7/15/21,Y UM,139
Mote,114,CL-123,Acer-123,89,161,,,7/15/21,Y UM,140
Mote,106,RD-4,Coopers-A,90,162,,,7/15/21,Y UM,142
Mote,141,ML-57,ML-57,91,,,,7/15/21,Y UM,146
Mote,140,ML-56,ML-56,92,239,,,7/15/21,Y UM,148
Mote,93,NB-4,4,93,,,,7/15/21,Y UM,150
Mote,139,ML-70,ML-70,94,240,,,7/15/21,Y UM,155
Mote,161,ML-76,ML-76,95,,,,7/15/21,Y UM,158
Mote,78,ML-4,ML-4,96,241,,,7/15/21,Y UM,159
