Genotype name,Given by,Given to,Previous name (if applicable),Collection Site,Collected by,Collection date,Collection permit,Sequenced (y/n),Sequenced date,Sequenced by,Genet info
Acer-001,CRF,"Mote, FWC, NSU, UM",Acer1,White Bank North,CRF,6/22/18,FKNMS-2011-159-A4,,,,
Acer-002,CRF,"Mote, FWC, NSU, UM",Acer2,White Bank North,CRF,6/22/18,FKNMS-2011-159-A4,,,,
Acer-014,CRF,"Mote, FWC, NSU, UM",u9,Patch Reef Near Davis Reef,CRF,1/13/06,TNC FRRP Permit,,,,
Acer-103,CRF,"Mote, FWC, NSU, UM",u76,Lower Matecumbe ,CRF,6/14/11,FKNMS-2011-150,,,,
Acer-060,CRF,"Mote, FWC, NSU, UM",u17,Patch Reef inside Molasses Trench area,CRF,4/1/10,FKNMS-2011-150,,,,
Acer-126,CRF,"Mote, FWC, NSU, UM",u99,"Turtle Rocks, inshore",CRF,6/27/18,FKNMS-2011-159-A3,,,,
Acer-127,CRF,"Mote, FWC, NSU, UM",u33,Patch Reef just off Triangle Marker off Tavernier,CRF,5/13/08,FKNMS-2008-006,,,,
Acer-046,CRF,"NSU, UM",M7,Jeff's Patch,FWC,3/18/10,FKNMS-2015-129-A2,,,,
Acer-062,CRF,"FWC, NSU, UM",M18,off Long Key,FWC,4/20/10,FKNMS-2015-129-A2,,,,
Acer-117,CRF,"Mote, FWC, NSU, UM",KW13,Inshore of 9 Foot Stake #1,CRF,12/7/05,FKNMS-2011-159-A3,,,,
Acer-120,CRF,"Mote, FWC, NSU, UM",KW21,"Man Key, off Key West",CRF,5/14/15,FKNMS-2011-159-A3,,,,
Acer-123,CRF,"Mote, FWC, NSU, UM",KW12,"Western Sambo, south end",CRF,6/27/18,FKNMS-2011-159-A3,,,,
Acer-061,CRF,"Mote, FWC, NSU, UM",u21,Patch Reef inside Molasses Trench area,CRF,4/1/10,FKNMS-2011-150,,,,
Acer-041,CRF,"Mote, FWC, NSU, UM",u34,Patch Reef just off Triangle Marker off Tavernier,CRF,11/21/08,FKNMS-2008-006,,,,
Acer-049,CRF,"Mote, FWC, NSU, UM",u38,Pickles Rubble Zone,CRF,5/7/10,FKNMS-2008-006,,,,
Acer-071,CRF,"Mote, FWC, NSU, UM",u73,"glenn, Remnant coral off Tavernier, Near U46",CRF,10/17/10,FKNMS-2011-150,,,,
Acer-089,CRF,"Mote, FWC, NSU, UM",u68,"Near Condo1, Jim",CRF,10/28/10,FKNMS-2011-150,,,,
Acer-091,CRF,"Mote, FWC, NSU, UM",u63,North Dry Rocks,CRF,10/28/10,FKNMS-2011-150,,,,
Acer-093,CRF,"Mote, FWC, NSU, UM",u65,Patch reef between North Dry Rocks and Dry Rocks,CRF,11/7/10,FKNMS-2011-150,,,,
Acer-097,CRF,"Mote, FWC, NSU, UM",u66,"Patch reef inside staghorn Nursery, Remnant",CRF,11/7/10,FKNMS-2011-150,,,,
Acer-030,CRF,"Mote, FWC, NSU, UM",M3,East Turtle Shoal off Grassy Key,CRF,4/24/08,FKNMS-2008-006,,,,
Acer-057,CRF,"Mote, FWC, NSU, UM",M8,Jeff's Patch,FWC,Get from FWC,,,,,
Acer-022,CRF,"Mote, FWC, NSU, UM",B9,Broward County,NSU,12/4/07,Get from NOVA,,,,
F-M-6,FWC,"NSU, UM",6,Off Grassy Key,FWC,3/18/10,FKNMS-2015-129-A2,,,,
F-M-9,FWC,"NSU, UM",9,East Washerwoman Shoal,FWC,4/28/10,FKNMS-2015-129-A2,,,,
F-M-12,FWC,"NSU, UM",12,near Delta Shoal,FWC,5/6/10,FKNMS-2015-129-A2,,,,
F-M-13,FWC,"NSU, UM",13,Jeff's Patch,FWC,5/5/10,FKNMS-2015-129-A2,,,,
F-M-14,FWC,"NSU, UM, CRF",14,Jeff's Patch,FWC,5/5/10,FKNMS-2015-129-A2,,,,
F-M-20,FWC,"NSU, UM",20,off Long Key,FWC,4/20/10,FKNMS-2015-129-A2,,,,
F-M-21,FWC,"NSU, UM",21,Stag party,FWC,1/19/11,FKNMS-2015-129-A2,,,,
T-DT-1,FWC,"Mote, NSU, UM, CRF",C1441,,,,,,,,
T-DT-2,FWC,"Mote, NSU, UM, CRF",C1446,,,,,,,,
1,NSU,"Mote, FWC, UM, CRF",n/a,Nearshore Broward County,NSU,4/29/10,SAL-10-1086A-SCRP,,,,
2,NSU,"Mote, FWC, UM, CRF",n/a,Nearshore Broward County,NSU,4/29/10,SAL-10-1086A-SCRP,,,,
4,NSU,"Mote, FWC, UM, CRF",n/a,Nearshore Broward County,NSU,4/28/10,SAL-10-1086A-SCRP,,,,
5,NSU,"Mote, FWC, UM, CRF",n/a,Nearshore Broward County,NSU,4/28/10,SAL-10-1086A-SCRP,,,,
6,NSU,"Mote, FWC, UM, CRF",n/a,Nearshore Broward County,NSU,4/28/10,SAL-10-1086A-SCRP,,,,
7,NSU,"Mote, FWC, UM, CRF",n/a,Nearshore Broward County,NSU,4/27/10,SAL-10-1086A-SCRP,,,,
8,NSU,"Mote, FWC, UM, CRF",n/a,Nearshore Broward County,NSU,4/27/10,SAL-10-1086A-SCRP,,,,
