sample_name,tube.id,type,duplicates,species,Swap,PCRplate
Acer1,1,sample,,Acer,Frozen,1
Acer2,2,sample,,Acer,Frozen,1
Acer3,3,sample,,Acer,Frozen,1
Acer4,4,sample,,Acer,Frozen,1
Acer5,5,sample,,Acer,Frozen,1
Acer6,6,sample,,Acer,Frozen,1
Acer7,7,sample,,Acer,Frozen,1
Acer8,8,sample,,Acer,Frozen,1
Acer9,9,sample,,Acer,Frozen,1
Acer10,10,sample,,Acer,Frozen,1
Acer11,11,sample,,Acer,Frozen,1
Acer12,12,sample,,Acer,Frozen,1
Acer13,13,sample,,Acer,Frozen,1
Acer14,14,sample,,Acer,Frozen,1
Acer15,15,sample,,Acer,Frozen,1
Acer16,16,sample,,Acer,Frozen,1
Acer17,17,sample,,Acer,Frozen,1
Acer18,18,sample,,Acer,Frozen,1
Acer19,19,sample,,Acer,Frozen,1
Acer20,20,sample,,Acer,Frozen,1
Acer21,21,sample,,Acer,Frozen,1
Acer22,22,sample,,Acer,Frozen,1
Acer23,23,sample,,Acer,Frozen,1
Acer24,24,sample,,Acer,Frozen,1
Acer25,25,sample,,Acer,Frozen,1
Acer26,26,sample,,Acer,Frozen,1
Acer27,27,sample,,Acer,Frozen,1
Acer28,28,sample,,Acer,Frozen,1
Acer29,29,sample,,Acer,Frozen,1
Acer30,30,sample,,Acer,Frozen,1
Acer31,31,sample,,Acer,Frozen,1
Acer32,32,sample,,Acer,Frozen,1
Acer33,33,sample,,Acer,Frozen,1
Acer34,34,sample,,Acer,Frozen,1
Acer35,35,sample,,Acer,Frozen,1
Acer36,36,sample,,Acer,Frozen,1
Acer37,37,sample,,Acer,Frozen,1
Acer38,38,sample,,Acer,Frozen,1
Acer39,39,sample,,Acer,Frozen,1
Acer40,40,sample,,Acer,Frozen,1
Acer41,41,sample,,Acer,Frozen,1
Acer42,42,sample,,Acer,Frozen,1
Acer43,43,sample,,Acer,Frozen,1
Acer44,44,sample,,Acer,Frozen,1
Acer45,45,sample,,Acer,Frozen,1
Acer46,46,sample,,Acer,Frozen,1
Acer47,47,sample,,Acer,Frozen,1
Acer48,48,sample,,Acer,Frozen,1
Acer49,49,sample,,Acer,Frozen,1
Acer50,50,sample,,Acer,Frozen,1
Acer51,51,sample,,Acer,Frozen,1
Acer52,52,sample,,Acer,Frozen,1
Acer53,53,sample,,Acer,Frozen,1
Acer54,54,sample,,Acer,Frozen,1
Acer55,55,sample,,Acer,Frozen,1
Acer56,56,sample,,Acer,Frozen,1
Acer57,57,sample,,Acer,Frozen,1
Acer58,58,sample,,Acer,Frozen,1
Acer59,59,sample,,Acer,Frozen,1
Acer60,60,sample,,Acer,Frozen,1
Acer61,61,sample,,Acer,Frozen,1
Acer62,62,sample,,Acer,Frozen,1
Acer63,63,sample,,Acer,Frozen,1
Acer64,64,sample,,Acer,Frozen,1
Acer65,65,sample,,Acer,Frozen,1
Acer66,66,sample,,Acer,Frozen,1
Acer67,67,sample,dup,Acer,Frozen,1
Acer68,68,sample,dup,Acer,Frozen,1
Acer69,69,sample,dup,Acer,Frozen,1
Acer70,70,sample,dup,Acer,Frozen,1
Acer71,71,sample,dup,Acer,Frozen,1
Acer72,72,sample,,Acer,Frozen,1
Acer73,73,sample,,Acer,Frozen,1
Acer75,75,sample,,Acer,Frozen,1
Acer74,74,sample,dup,Acer,Frozen,1
Acer76,76,sample,,Acer,Frozen,1
Acer77,77,sample,,Acer,Frozen,1
Acer78,78,sample,,Acer,Frozen,1
Acer79,79,sample,,Acer,Frozen,1
Acer80,80,sample,,Acer,Frozen,1
Acer81,81,sample,,Acer,Frozen,1
Acer82,82,sample,,Acer,Frozen,1
Acer83,83,sample,,Acer,Frozen,1
Acer84,84,sample,,Acer,Frozen,1
Acer85,85,sample,,Acer,Frozen,1
Acer86,86,sample,,Acer,Frozen,1
Acer87,87,sample,,Acer,Frozen,1
Acer88,88,sample,,Acer,Frozen,1
Acer89,89,sample,,Acer,Frozen,1
Acer90,90,sample,,Acer,Frozen,1
Acer91,91,sample,,Acer,Frozen,1
Acer92,92,sample,,Acer,Frozen,1
AcerNTCP1a,NTCP1a,NTC,,Acer,Frozen,1
AcerNTCP1b,NTCP1b,NTC,,Acer,Frozen,1
AcerMockP1,MockP1,Mock,,Acer,Frozen,1
AcerDNAblankP1,DNAblankP1,DNAblank,,Acer,Frozen,1
Acer96,96,sample,,Acer,Frozen,2
Acer104,104,sample,,Acer,Frozen,2
Acer112,112,sample,,Acer,Frozen,2
Acer120,120,sample,,Acer,Frozen,2
Acer128,128,sample,,Acer,Frozen,2
Acer136,136,sample,,Acer,Frozen,2
Acer144,144,sample,,Acer,Frozen,2
Acer152,152,sample,,Acer,Frozen,2
Acer160,160,sample,,Acer,Frozen,2
AcerNTCP2a,NTCP2a,NTC,,Acer,Frozen,2
Acer268,268,sample,,Acer,Frozen,2
Acer244,244,sample,,Acer,Frozen,2
Acer97,97,sample,,Acer,Frozen,2
Acer105,105,sample,,Acer,Frozen,2
Acer113,113,sample,,Acer,Frozen,2
Acer121,121,sample,,Acer,Frozen,2
Acer129,129,sample,,Acer,Frozen,2
Acer137,137,sample,,Acer,Frozen,2
Acer145,145,sample,,Acer,Frozen,2
Acer153,153,sample,,Acer,Frozen,2
Acer161,161,sample,,Acer,Frozen,2
Acer166,166,sample,,Acer,Frozen,2
Acer269,269,sample,,Acer,Frozen,2
Acer245,245,sample,,Acer,Frozen,2
Acer98,98,sample,,Acer,Frozen,2
Acer106,106,sample,,Acer,Frozen,2
Acer114,114,sample,,Acer,Frozen,2
Acer122,122,sample,dup,Acer,Frozen,2
Acer130,130,sample,,Acer,Frozen,2
Acer138,138,sample,,Acer,Frozen,2
Acer146,146,sample,,Acer,Frozen,2
Acer154,154,sample,,Acer,Frozen,2
Acer162,162,sample,,Acer,Frozen,2
Acer279,279,sample,,Acer,Frozen,2
Acer270,270,sample,,Acer,Frozen,2
Acer246,246,sample,,Acer,Frozen,2
Acer99,99,sample,,Acer,Frozen,2
Acer107,107,sample,,Acer,Frozen,2
Acer115,115,sample,dup,Acer,Frozen,2
Acer123,123,sample,,Acer,Frozen,2
Acer131,131,sample,,Acer,Frozen,2
Acer139,139,sample,,Acer,Frozen,2
Acer147,147,sample,,Acer,Frozen,2
Acer155,155,sample,,Acer,Frozen,2
Acer93,93,sample,,Acer,Frozen,2
Acer278,278,sample,,Acer,Frozen,2
Acer271,271,sample,,Acer,Frozen,2
Acer247,247,sample,,Acer,Frozen,2
Acer100,100,sample,,Acer,Frozen,2
Acer108,108,sample,,Acer,Frozen,2
Acer116,116,sample,,Acer,Frozen,2
Acer124,124,sample,,Acer,Frozen,2
Acer132,132,sample,,Acer,Frozen,2
Acer140,140,sample,,Acer,Frozen,2
Acer148,148,sample,,Acer,Frozen,2
Acer156,156,sample,,Acer,Frozen,2
Acer94,94,sample,,Acer,Frozen,2
Acer275,275,sample,,Acer,Frozen,2
Acer272,272,sample,dup,Acer,Frozen,2
Acer248,248,sample,,Acer,Frozen,2
Acer101,101,sample,,Acer,Frozen,2
Acer109,109,sample,,Acer,Frozen,2
Acer117,117,sample,,Acer,Frozen,2
Acer125,125,sample,,Acer,Frozen,2
Acer133,133,sample,,Acer,Frozen,2
Acer141,141,sample,,Acer,Frozen,2
Acer149,149,sample,,Acer,Frozen,2
Acer157,157,sample,,Acer,Frozen,2
Acer95,95,sample,,Acer,Frozen,2
Acer276,276,sample,,Acer,Frozen,2
Acer273,273,sample,,Acer,Frozen,2
Acer249,249,sample,,Acer,Frozen,2
Acer102,102,sample,,Acer,Frozen,2
Acer110,110,sample,,Acer,Frozen,2
Acer118,118,sample,,Acer,Frozen,2
Acer126,126,sample,,Acer,Frozen,2
Acer134,134,sample,,Acer,Frozen,2
Acer142,142,sample,,Acer,Frozen,2
Acer150,150,sample,,Acer,Frozen,2
Acer158,158,sample,,Acer,Frozen,2
Acer164,164,sample,,Acer,Frozen,2
Acer277,277,sample,,Acer,Frozen,2
Acer274,274,sample,,Acer,Frozen,2
Acer250,250,sample,,Acer,Frozen,2
Acer103,103,sample,,Acer,Frozen,2
Acer111,111,sample,dup,Acer,Frozen,2
Acer119,119,sample,,Acer,Frozen,2
Acer127,127,sample,,Acer,Frozen,2
Acer135,135,sample,,Acer,Frozen,2
Acer143,143,sample,,Acer,Frozen,2
Acer151,151,sample,,Acer,Frozen,2
Acer159,159,sample,,Acer,Frozen,2
Acer165,165,sample,,Acer,Frozen,2
AcerMOCKP2,MOCKP2,Mock,,Acer,Frozen,2
AcerNTCP2b,NTCP2b,NTC,,Acer,Frozen,2
Acer251,251,sample,,Acer,Frozen,2
AcerMockP3,MockP3,Mock,,Acer,Frozen,3
AcerNTCP3a,NTCP3a,NTC,,Acer,Frozen,3
AcerNTCP3b,NTCP3b,NTC,,Acer,Frozen,3
Acer167,167,sample,,Acer,Frozen,3
Acer168,168,sample,,Acer,Frozen,3
Acer169,169,sample,,Acer,Frozen,3
Acer170,170,sample,,Acer,Frozen,3
Acer171,171,sample,,Acer,Frozen,3
Acer172,172,sample,,Acer,Frozen,3
Acer173,173,sample,,Acer,Frozen,3
Acer174,174,sample,,Acer,Frozen,3
Acer175,175,sample,dup,Acer,Frozen,3
Acer176,176,sample,,Acer,Frozen,3
Acer177,177,sample,,Acer,Frozen,3
Acer178,178,sample,,Acer,Frozen,3
Acer179,179,sample,,Acer,Frozen,3
Acer180,180,sample,,Acer,Frozen,3
Acer181,181,sample,,Acer,Frozen,3
Acer182,182,sample,,Acer,Frozen,3
Acer183,183,sample,,Acer,Frozen,3
Acer184,184,sample,,Acer,Frozen,3
Acer185,185,sample,,Acer,Frozen,3
Acer186,186,sample,,Acer,Frozen,3
Acer187,187,sample,,Acer,Frozen,3
Acer188,188,sample,,Acer,Frozen,3
Acer189,189,sample,,Acer,Frozen,3
Acer190,190,sample,,Acer,Frozen,3
Acer191,191,sample,,Acer,Frozen,3
Acer192,192,sample,,Acer,Frozen,3
Acer193,193,sample,,Acer,Frozen,3
Acer194,194,sample,,Acer,Frozen,3
Acer195,195,sample,,Acer,Frozen,3
Acer196,196,sample,,Acer,Frozen,3
Acer197,197,sample,,Acer,Frozen,3
