"","sample_name","type","duplicates","species","genet.ID","Away.nursery","Home.nursery","frag.id"
"Acer1","Acer1","sample","","Acer","ML78","Mote","Mote","ML78 Mote "
"Acer10","Acer10","sample","","Acer","Acer093","Mote","CRF","Acer093 CRF "
"Acer100","Acer100","sample","","Acer","ML10","Mote","Mote","ML10 Mote "
"Acer101","Acer101","sample","","Acer","ML3","Mote","Mote","ML3 Mote "
"Acer102","Acer102","sample","","Acer","Acerv3","Mote","UM","Acerv3 UM "
"Acer103","Acer103","sample","","Acer","Acer002","Mote","CRF","Acer002 CRF "
"Acer104","Acer104","sample","","Acer","4a","Mote","NSU","4a NSU "
"Acer105","Acer105","sample","","Acer","ML62","Mote","Mote","ML62 Mote "
"Acer106","Acer106","sample","","Acer","ML38","Mote","Mote","ML38 Mote "
"Acer107","Acer107","sample","","Acer","ML6","Mote","Mote","ML6 Mote "
"Acer108","Acer108","sample","","Acer","FM14","UM","FWC","FM14 FWC "
"Acer109","Acer109","sample","","Acer","ML63","UM","Mote","ML63 Mote "
"Acer11","Acer11","sample","","Acer","ML5","Mote","Mote","ML5 Mote "
"Acer110","Acer110","sample","","Acer","ML20","UM","Mote","ML20 Mote "
"Acer111","Acer111","sample","","Acer","14","UM","NSU","14 NSU "
"Acer112","Acer112","sample","","Acer","FM19","UM","Mote","FM19 Mote "
"Acer113","Acer113","sample","","Acer","MiamiBeachD","UM","UM","MiamiBeachD UM "
"Acer114","Acer114","sample","","Acer","ML46","UM","Mote","ML46 Mote "
"Acer115","Acer115","sample","","Acer","5","UM","NSU","5 NSU "
"Acer116","Acer116","sample","","Acer","5a","UM","NSU","5a NSU "
"Acer117","Acer117","sample","","Acer","ML88","UM","Mote","ML88 Mote "
"Acer118","Acer118","sample","","Acer","TDT1","UM","FWC","TDT1 FWC "
"Acer119","Acer119","sample","","Acer","StagreefA","UM","UM","StagreefA UM "
"Acer12","Acer12","sample","","Acer","ML75","FWC","Mote","ML75 Mote "
"Acer120","Acer120","sample","","Acer","Cheetosb","UM","UM","Cheetosb UM "
"Acer121","Acer121","sample","","Acer","ML51","UM","Mote","ML51 Mote "
"Acer122","Acer122","sample","","Acer","14","UM","NSU","14 NSU "
"Acer123","Acer123","sample","","Acer","ML36","UM","Mote","ML36 Mote "
"Acer124","Acer124","sample","","Acer","3a","UM","NSU","3a NSU "
"Acer125","Acer125","sample","","Acer","Acerv1","UM","UM","Acerv1 UM "
"Acer126","Acer126","sample","","Acer","FM21","UM","FWC","FM21 FWC "
"Acer127","Acer127","sample","","Acer","YungsA","UM","UM","YungsA UM "
"Acer128","Acer128","sample","","Acer","Acer057","UM","CRF","Acer057 CRF "
"Acer129","Acer129","sample","","Acer",NA,NA,NA,"NA NA "
"Acer13","Acer13","sample","","Acer","ML47","FWC","Mote","ML47 Mote "
"Acer130","Acer130","sample","","Acer","Marker9","UM","UM","Marker9 UM "
"Acer131","Acer131","sample","","Acer","NorthMidchannelA","UM","UM","NorthMidchannelA UM "
"Acer132","Acer132","sample","","Acer","15","UM","NSU","15 NSU "
"Acer133","Acer133","sample","","Acer","Acerv3","UM","UM","Acerv3 UM "
"Acer134","Acer134","sample","","Acer",NA,NA,NA,"NA NA "
"Acer135","Acer135","sample","","Acer","Acerv2","UM","UM","Acerv2 UM "
"Acer136","Acer136","sample","","Acer","2","UM","NSU","2 NSU "
"Acer137","Acer137","sample","","Acer","Elkhorn","UM","UM","Elkhorn UM "
"Acer138","Acer138","sample","","Acer","ML44","UM","Mote","ML44 Mote "
"Acer139","Acer139","sample","","Acer","ML58","UM","Mote","ML58 Mote "
"Acer14","Acer14","sample","","Acer","FM12","FWC","FWC","FM12 FWC "
"Acer140","Acer140","sample","","Acer","ML80","UM","Mote","ML80 Mote "
"Acer141","Acer141","sample","","Acer","ML13","UM","Mote","ML13 Mote "
"Acer142","Acer142","sample","","Acer","SunnyIslesC","UM","UM","SunnyIslesC UM "
"Acer143","Acer143","sample","","Acer","ML48","UM","Mote","ML48 Mote "
"Acer144","Acer144","sample","","Acer","ML70","UM","Mote","ML70 Mote "
"Acer145","Acer145","sample","","Acer","Acer103","UM","CRF","Acer103 CRF "
"Acer146","Acer146","sample","","Acer","StephsA","UM","UM","StephsA UM "
"Acer147","Acer147","sample","","Acer","FM6","UM","FWC","FM6 FWC "
"Acer148","Acer148","sample","","Acer","4","UM","NSU","4 NSU "
"Acer149","Acer149","sample","","Acer","4a","UM","NSU","4a NSU "
"Acer15","Acer15","sample","","Acer","ML63","FWC","Mote","ML63 Mote "
"Acer150","Acer150","sample","","Acer","ML56","UM","Mote","ML56 Mote "
"Acer151","Acer151","sample","","Acer","ML4","UM","Mote","ML4 Mote "
"Acer152","Acer152","sample","","Acer","8","UM","NSU","8 NSU "
