sample_name,tube.id,type,duplicates,species
Acer1,1,sample,,Acer
Acer2,2,sample,,Acer
Acer3,3,sample,,Acer
Acer4,4,sample,,Acer
Acer5,5,sample,,Acer
Acer6,6,sample,,Acer
Acer7,7,sample,,Acer
Acer8,8,sample,,Acer
Acer9,9,sample,,Acer
Acer10,10,sample,,Acer
Acer11,11,sample,,Acer
Acer12,12,sample,,Acer
Acer13,13,sample,,Acer
Acer14,14,sample,,Acer
Acer15,15,sample,,Acer
Acer16,16,sample,,Acer
Acer17,17,sample,,Acer
Acer18,18,sample,,Acer
Acer19,19,sample,,Acer
Acer20,20,sample,,Acer
Acer21,21,sample,,Acer
Acer22,22,sample,,Acer
Acer23,23,sample,,Acer
Acer24,24,sample,,Acer
Acer25,25,sample,,Acer
Acer26,26,sample,,Acer
Acer27,27,sample,,Acer
Acer28,28,sample,,Acer
Acer29,29,sample,,Acer
Acer30,30,sample,,Acer
Acer31,31,sample,,Acer
Acer32,32,sample,,Acer
Acer33,33,sample,,Acer
Acer34,34,sample,,Acer
Acer35,35,sample,,Acer
Acer36,36,sample,,Acer
Acer37,37,sample,,Acer
Acer38,38,sample,,Acer
Acer39,39,sample,,Acer
Acer40,40,sample,,Acer
Acer41,41,sample,,Acer
Acer42,42,sample,,Acer
Acer43,43,sample,,Acer
Acer44,44,sample,,Acer
Acer45,45,sample,,Acer
Acer46,46,sample,,Acer
Acer47,47,sample,,Acer
Acer48,48,sample,,Acer
Acer49,49,sample,,Acer
Acer50,50,sample,,Acer
Acer51,51,sample,,Acer
Acer52,52,sample,,Acer
Acer53,53,sample,,Acer
Acer54,54,sample,,Acer
Acer55,55,sample,,Acer
Acer56,56,sample,,Acer
Acer57,57,sample,,Acer
Acer58,58,sample,,Acer
Acer59,59,sample,,Acer
Acer60,60,sample,,Acer
Acer61,61,sample,,Acer
Acer62,62,sample,,Acer
Acer63,63,sample,,Acer
Acer64,64,sample,,Acer
Acer65,65,sample,,Acer
Acer66,66,sample,,Acer
Acer67,67,sample,dup,Acer
Acer68,68,sample,dup,Acer
Acer69,69,sample,dup,Acer
Acer70,70,sample,dup,Acer
Acer71,71,sample,dup,Acer
Acer72,72,sample,,Acer
Acer73,73,sample,,Acer
Acer75,75,sample,,Acer
Acer74,74,sample,dup,Acer
Acer76,76,sample,,Acer
Acer77,77,sample,,Acer
Acer78,78,sample,,Acer
Acer79,79,sample,,Acer
Acer80,80,sample,,Acer
Acer81,81,sample,,Acer
Acer82,82,sample,,Acer
Acer83,83,sample,,Acer
Acer84,84,sample,,Acer
Acer85,85,sample,,Acer
Acer86,86,sample,,Acer
Acer87,87,sample,,Acer
Acer88,88,sample,,Acer
Acer89,89,sample,,Acer
Acer90,90,sample,,Acer
Acer91,91,sample,,Acer
Acer92,92,sample,,Acer
AcerNTCP1a,NTCP1a,NTC,,Acer
AcerNTCP1b,NTCP1b,NTC,,Acer
AcerMockP1,MockP1,Mock,,Acer
AcerDNAblankP1,DNAblankP1,DNAblank,,Acer
Acer96,96,sample,,Acer
Acer104,104,sample,,Acer
Acer112,112,sample,,Acer
Acer120,120,sample,,Acer
Acer128,128,sample,,Acer
Acer136,136,sample,,Acer
Acer144,144,sample,,Acer
Acer152,152,sample,,Acer
Acer160,160,sample,,Acer
AcerNTCP2a,NTCP2a,NTC,,Acer
Acer268,268,sample,,Acer
Acer244,244,sample,,Acer
Acer97,97,sample,,Acer
Acer105,105,sample,,Acer
Acer113,113,sample,,Acer
Acer121,121,sample,,Acer
Acer129,129,sample,,Acer
Acer137,137,sample,,Acer
Acer145,145,sample,,Acer
Acer153,153,sample,,Acer
Acer161,161,sample,,Acer
