genet.ID,Away.nursery,Home.nursery,tube.id,sample_name,type,duplicates,species,Swap,PCRplate,Other.name,Collection.Site,Latitude,Longitude,Collected.by,Collection.date,Collection.permit,frag.id,ed50
1,CRF,NSU,209,Acer209,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.21089935,-80.08580017,NSU,4/29/10,SAL-10-1086A-SCRP,1 NSU CRF Frozen,36.02999848
1,Mote,NSU,42,Acer42,sample,,Acer,Frozen,1,n/a,Nearshore Broward County,26.21089935,-80.08580017,NSU,4/29/10,SAL-10-1086A-SCRP,1 NSU Mote Frozen,36.19624508
1,NSU,NSU,192,Acer192,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.21089935,-80.08580017,NSU,4/29/10,SAL-10-1086A-SCRP,1 NSU NSU Frozen,36.47085755
1,UM,NSU,153,Acer153,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.21089935,-80.08580017,NSU,4/29/10,SAL-10-1086A-SCRP,1 NSU UM Frozen,36.50031542
2,NSU,NSU,189,Acer189,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.19059944,-80.08760071,NSU,4/29/10,SAL-10-1086A-SCRP,2 NSU NSU Frozen,36.17573545
2,CRF,NSU,226,Acer226,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.19059944,-80.08760071,NSU,4/29/10,SAL-10-1086A-SCRP,2 NSU CRF Frozen,36.21528889
2,UM,NSU,136,Acer136,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.19059944,-80.08760071,NSU,4/29/10,SAL-10-1086A-SCRP,2 NSU UM Frozen,36.8128623
4,Mote,NSU,93,Acer93,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.15810013,-80.09059906,NSU,4/28/10,SAL-10-1086A-SCRP,4 NSU Mote Frozen,35.71726184
4,Mote,NSU,558,Acer558,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.15810013,-80.09059906,NSU,4/28/10,SAL-10-1086A-SCRP,4 NSU Mote Fresh,35.71726184
4,CRF,NSU,248,Acer248,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.15810013,-80.09059906,NSU,4/28/10,SAL-10-1086A-SCRP,4 NSU CRF Frozen,35.85944916
4,CRF,NSU,515,Acer515,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.15810013,-80.09059906,NSU,4/28/10,SAL-10-1086A-SCRP,4 NSU CRF Fresh,35.85944916
4,NSU,NSU,204,Acer204,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.15810013,-80.09059906,NSU,4/28/10,SAL-10-1086A-SCRP,4 NSU NSU Frozen,36.13214637
4,UM,NSU,148,Acer148,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.15810013,-80.09059906,NSU,4/28/10,SAL-10-1086A-SCRP,4 NSU UM Frozen,36.15546406
4,UM,NSU,369,Acer369,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.15810013,-80.09059906,NSU,4/28/10,SAL-10-1086A-SCRP,4 NSU UM Fresh,36.15546406
5,CRF,NSU,224,Acer224,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.15629959,-80.09049988,NSU,4/28/10,SAL-10-1086A-SCRP,5 NSU CRF Frozen,36.30734247
